TOP|20110125073001|2011-01-25_0730_US_KMEX_Noticiero_Univision_Ultima_Hora
COL|Communication Studies Archive, UCLA 
UID|175b16a0-2859-11e0-b195-001517add60e
DUR|0:29:49.62
VID|640x480
CMT|
LAN|SPA
LBT|2011-01-24 23:30 America/Los_Angeles
SEG_01|2014-06-18 19:01:04|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110125073007.000|20110125073022.000|SEG|Type=Story
20110125073007.000|20110125074359.000|SEG_01|Type=Commercial
20110125073007.000|20110125073009.000|CC1|noticiero gracias por           
20110125073009.000|20110125073012.000|CC1|acompaaron, recuerden que       
20110125073012.000|20110125073020.000|CC1|mañan nuestro noticiero de las  
20110125073020.000|20110125073022.000|CC1|6 a las 7.                      
20110125073022.000|20110125075950.000|SEG|Type=Story
20110125073022.000|20110125074318.000|CC1|>>>                             
20110125074318.000|20110125074318.000|CC1|      [ el teléfono suena ]     
20110125074318.000|20110125074320.000|CC1| ¿Hola?                         
20110125074320.000|20110125074320.000|CC1|               ¿Cómo te trata   
20110125074320.000|20110125074322.000|CC1|              la vida comadre?  
20110125074322.000|20110125074322.000|CC1|Bien, estoy comiendo algo para  
20110125074322.000|20110125074324.000|CC1|ayudar a bajar el colesterol.   
20110125074324.000|20110125074326.000|CC1|        Ay como te gusta sufrir.
20110125074326.000|20110125074326.000|CC1|Para nada, acuérdate que        
20110125074326.000|20110125074329.000|CC1|es cereal Honey Nut Cheerios.   
20110125074329.000|20110125074329.000|CC1| Tiene un rico sabor            
20110125074329.000|20110125074330.000|CC1|       a miel                   
20110125074330.000|20110125074330.000|CC1|   y fibra soluble              
20110125074330.000|20110125074332.000|CC1|  de avena integral             
20110125074332.000|20110125074332.000|CC1|  que ayuda a bajar             
20110125074332.000|20110125074334.000|CC1|   mi colesterol.               
20110125074334.000|20110125074334.000|CC1|                   Sí, sí,      
20110125074334.000|20110125074336.000|CC1|          saludable y delicioso.
20110125074336.000|20110125074336.000|CC1|               Y ahora quieres  
20110125074336.000|20110125074337.000|CC1|                que crea que    
20110125074337.000|20110125074337.000|CC1|  tu esposo te llevó de shopping
20110125074337.000|20110125074340.000|CC1|               y te está dando  
20110125074340.000|20110125074341.000|CC1|          un masaje de pies ¿no?
20110125074341.000|20110125074344.000|CC1|               ? ?              
20110125074344.000|20110125074344.000|CC1|           [ Locutora ]         
20110125074344.000|20110125074345.000|CC1|       Honey Nut Cheerios.      
20110125074345.000|20110125074359.000|CC1|    Vivir sano es vivir feliz.  
20110125074359.000|20110125074400.000|SEG_01|Type=Story start
20110125074359.000|20110125074400.000|CC1|>> EL HOMBRE ACUSADO DE LA      
20110125074400.000|20110125074403.000|CC1|MATANZA DE ARIZONA SE DECLARÓ   
20110125074403.000|20110125074404.000|CC1|NO CULPABLE DE CARGOS DE QUE    
20110125074404.000|20110125074406.000|CC1|INTENTÓ ASESINAR A LA           
20110125074406.000|20110125074407.000|CC1|REPRESENTANTE GIFFORD Y CARDOSO 
20110125074407.000|20110125074416.000|CC1|DE SUS ASESORES.                
20110125074416.000|20110125074417.000|CC1|ÉL SE PRESENTÓ HOY POR SEGUNDA  
20110125074417.000|20110125074418.000|CC1|VEZ EN UNA CORTE, LA FISCALÍA   
20110125074418.000|20110125074419.000|CC1|PRESENTARÁ CARGOS ADICIONALES   
20110125074419.000|20110125074419.000|CC1|POR EL ASESINATO DE SEIS        
20110125074419.000|20110125074420.000|CC1|PERSONAS Y EL INTENTO DE        
20110125074420.000|20110125074423.000|CC1|ASESINATO DE VARIOS MÁS A LAS   
20110125074423.000|20110125074426.000|CC1|QUE HIRIÓ.                      
20110125074426.000|20110125074432.000|CC1|...                             
20110125074432.000|20110125074433.000|CC1|>> ENTRE LAS VÍCTIMAS FATALES   
20110125074433.000|20110125074434.000|CC1|HABÍA UN NIÑO DE SÓLO 11 AÑOS   
20110125074434.000|20110125074435.000|CC1|DE EDAD Y OTRAS DOS PERSONAS    
20110125074435.000|20110125074441.000|CC1|RESULTARON HERIDAS DE GRAVEDAD. 
20110125074441.000|20110125074442.000|CC1|LOS SICARIOS LLEGARON EN TRES   
20110125074442.000|20110125074443.000|CC1|VEHÍCULOS, EXIGIERON QUE MUCHOS 
20110125074443.000|20110125074443.000|CC1|DE LOS PRESENTES SE ACOTARÁN EN 
20110125074443.000|20110125074444.000|CC1|EL SUELO Y ABRIERON FUEGO       
20110125074444.000|20110125074450.000|CC1|CONTRA ALGUNOS ELEGIDOS.        
20110125074450.000|20110125074451.000|CC1|>> MÁS DE 30 PERSONAS FUERON    
20110125074451.000|20110125074452.000|CC1|ACUSADAS EN LA MAYOR OPERACIÓN  
20110125074452.000|20110125074452.000|CC1|CONTRA LA CORRUPCIÓN QUE HA     
20110125074452.000|20110125074501.000|CC1|HECHO EL FBI EN PUERTO RICO.    
20110125074501.000|20110125074501.000|CC1|ENTRE LOS SOSPECHOSOS HAY 126   
20110125074501.000|20110125074502.000|CC1|EMPLEADOS PÚBLICOS,2 ACUSADOS   
20110125074502.000|20110125074503.000|CC1|DE PARTICIPAR EN UN ESQUEMA     
20110125074503.000|20110125074504.000|CC1|PARA ESTAFAR A LA ASEGURADORA   
20110125074504.000|20110125074507.000|CC1|AFLEX DE ESTADOS UNIDOS.        
20110125074507.000|20110125074509.000|CC1|AGENTES FEDERALES PRACTICARON   
20110125074509.000|20110125074513.000|CC1|MÁS DE 200 ARRESTOS, 187 DE     
20110125074513.000|20110125074514.000|CC1|ELLOS EN PUERTO RICO Y 18 EN    
20110125074514.000|20110125074516.000|CC1|ESTADOS UNIDOS.                 
20110125074516.000|20110125074517.000|CC1|Y EL CASO DE UN ADOLESCENTE     
20110125074517.000|20110125074521.000|CC1|MEXICANO A QUIEN MATÓ UN AGENTE 
20110125074521.000|20110125074522.000|CC1|FEDERAL EN LA FRONTERA DIO UN   
20110125074522.000|20110125074528.000|CC1|NUEVO GIRO.                     
20110125074528.000|20110125074529.000|CC1|SALVADOR DURÁN NOS DICE QUE     
20110125074529.000|20110125074529.000|CC1|FAMILIARES DEL INMIGRANTE       
20110125074529.000|20110125074530.000|CC1|PRESENTARÁN NUEVAS EVIDENCIAS   
20110125074530.000|20110125074543.000|CC1|EN UNA DEMANDA JUDICIAL.        
20110125074543.000|20110125074543.000|CC1|>> EN LA DEMANDA CIVIL, LA      
20110125074543.000|20110125074544.000|CC1|FAMILIA DE SERGIO ADRIÁN        
20110125074544.000|20110125074545.000|CC1|HERNÁNDEZ, EL ADOLESCENTE QUE   
20110125074545.000|20110125074546.000|CC1|MURIÓ EL PASADO SIETE DE JULIO  
20110125074546.000|20110125074546.000|CC1|DE UN BALAZO EN LA CABEZA       
20110125074546.000|20110125074547.000|CC1|DISPARADO POR UN AGENTE DE LA   
20110125074547.000|20110125074547.000|CC1|PATRULLA FRONTERIZA HACE UN     
20110125074547.000|20110125074551.000|CC1|RECLAMO DE  $ 25 MILLONES.      
20110125074551.000|20110125074551.000|CC1|SUS PADRES CRUZARON HOY LA      
20110125074551.000|20110125074552.000|CC1|FRONTERA AÚN SINTIENDO EL MISMO 
20110125074552.000|20110125074553.000|CC1|DOLOR QUE LES PROVOCA LA        
20110125074553.000|20110125074558.000|CC1|PÉRDIDA DE SU HIJO.             
20110125074558.000|20110125074558.000|CC1|>> LA FAMILIA NO QUIERE EL      
20110125074558.000|20110125074559.000|CC1|DINERO, CUALQUIER DINERO QUE    
20110125074559.000|20110125074600.000|CC1|FUESE NO VA A REGRESAR LA VIDA  
20110125074600.000|20110125074604.000|CC1|DE NUESTRO HIJO.                
20110125074604.000|20110125074605.000|CC1|>> QUE SE HAGA JUSTICIA CON LA  
20110125074605.000|20110125074605.000|CC1|MUERTE DE MI HIJO Y QUE SU      
20110125074605.000|20110125074606.000|CC1|NOMBRE QUEDE LIMPIO PORQUE ÉL   
20110125074606.000|20110125074611.000|CC1|NO ERA UN CRIMINAL COMO ELLOS   
20110125074611.000|20110125074613.000|CC1|LO TACHARON.                    
20110125074613.000|20110125074616.000|CC1|>> LA INVESTIGACIÓN PRELIMINAR  
20110125074616.000|20110125074619.000|CC1|DE LA PATRULLA FRONTERIZA       
20110125074619.000|20110125074620.000|CC1|ASEGURÓ QUE  EL OFICIAL SÓLO    
20110125074620.000|20110125074622.000|CC1|DISPARÓ LUEGO DE QUE SERGIO LE  
20110125074622.000|20110125074625.000|CC1|ARROJARA PIEDRAS.               
20110125074625.000|20110125074625.000|CC1|PERO ESTA TESTIGO CONTRADIJO LA 
20110125074625.000|20110125074629.000|CC1|VERSIÓN OFICIAL DEL GOBIERNO.   
20110125074629.000|20110125074632.000|CC1|>> CRUZABA EL PUENTE Y YA       
20110125074632.000|20110125074633.000|CC1|TESTIFICÓ CONTRA UN JURADO      
20110125074633.000|20110125074638.000|CC1|INVESTIGADOR.                   
20110125074638.000|20110125074639.000|CC1|ELLA ASEGURA QUE SERGIO NO LE   
20110125074639.000|20110125074640.000|CC1|TIRÓ LAS PIEDRAS AL AGENTE EN   
20110125074640.000|20110125074641.000|CC1|NINGÚN MOMENTO Y NO ESTÁ DE     
20110125074641.000|20110125074641.000|CC1|ACUERDO CON LA DECLARACIÓN      
20110125074641.000|20110125074642.000|CC1|OFICIAL.                        
20110125074642.000|20110125074647.000|CC1|>> TENEMOS EVIDENCIAS POR EL    
20110125074647.000|20110125074648.000|CC1|LADO DEL GOBIERNO MEXICANO      
20110125074648.000|20110125074650.000|CC1|SOBRE LA MUERTE DE SERGIO       
20110125074650.000|20110125074652.000|CC1|ADRIÁN HERNÁNDEZ  QUE INDICAN   
20110125074652.000|20110125074655.000|CC1|QUE SI FUE UN HOMICIDIO,  QUE   
20110125074655.000|20110125074703.000|CC1|LO MATARAN A SERGIO.            
20110125074703.000|20110125074704.000|CC1|>> POR SU PARTE LA PATRULLA     
20110125074704.000|20110125074705.000|CC1|FRONTERIZA NOS DIJO VÍA         
20110125074705.000|20110125074705.000|CC1|TELEFÓNICA QUE NO PODÍAN        
20110125074705.000|20110125074706.000|CC1|COMENTAR SOBRE LITIGIOS         
20110125074706.000|20110125074707.000|CC1|PENDIENTES NI SOBRE UNA         
20110125074707.000|20110125074712.000|CC1|INVESTIGACIÓN TODAVÍA EN MARCHA.
20110125074712.000|20110125074712.000|CC1|EL FBI, LA AGENCIA QUE TIENE A  
20110125074712.000|20110125074713.000|CC1|CARGO DEL CASO A QUE EN LOS     
20110125074713.000|20110125074714.000|CC1|ESTADOS UNIDOS AÚN NO HA        
20110125074714.000|20110125074715.000|CC1|CONCLUIDO CON SU INVESTIGACIÓN  
20110125074715.000|20110125074717.000|CC1|CRIMINAL.                       
20110125074717.000|20110125074718.000|CC1|POR OTRA PARTE TAMPOCO HA DADO  
20110125074718.000|20110125074720.000|CC1|A CONOCER EL NOMBRE DEL AGENTE  
20110125074720.000|20110125074724.000|CC1|EL INVOLUCRADO EN EL TIROTEO.   
20110125074724.000|20110125074727.000|CC1|>> DESPUÉS DE UNA PAUSA VEREMOS 
20110125074727.000|20110125074741.000|CC1|POR QUÉ ESTE HOMBRE NO          
20110125074741.000|20110125074742.000|CC1|APARECERÁ EN LA BOLETA PARA LA  
20110125074742.000|20110125075031.000|CC1|ALCALDÍA DE CHICAGO.            
20110125075031.000|20110125075032.000|CC1|>> EL EX JEFE DE GABINETE DEL   
20110125075032.000|20110125075033.000|CC1|PRESIDENTE BARACK OBAMA         
20110125075033.000|20110125075033.000|CC1|RENUNCIÓ A ESA O PARA AFINAR A  
20110125075033.000|20110125075034.000|CC1|LA ALCALDÍA DE CHICAGO, SU      
20110125075034.000|20110125075035.000|CC1|CIUDAD.                         
20110125075035.000|20110125075037.000|CC1|PERO UNA CORTE DE APELACIONES   
20110125075037.000|20110125075038.000|CC1|DIJO QUE NO.                    
20110125075038.000|20110125075039.000|CC1|LA RAZÓN ES QUE NO HA VIVIDO EN 
20110125075039.000|20110125075041.000|CC1|LA CIUDAD MÍNIMO UN AÑO.        
20110125075041.000|20110125075043.000|CC1|LA CORTE SUPREMA PODRÍA         
20110125075043.000|20110125075045.000|CC1|DESECHAR EL CASO.               
20110125075045.000|20110125075049.000|CC1|EL PROBLEMA PARA EL ESTRENO     
20110125075049.000|20110125075049.000|CC1|PASARLO A TIEMPO QUEDARÍA FUERA 
20110125075049.000|20110125075051.000|CC1|DE LA BOLETA ELECTORAL.         
20110125075051.000|20110125075055.000|CC1| EL VICEPRESIDENTE DE ESTADOS   
20110125075055.000|20110125075102.000|CC1|UNIDOS COMPARECIÓ HOY ANTE UNA  
20110125075102.000|20110125075102.000|CC1|CORTE. HABÍA RECIBIDO UNA       
20110125075102.000|20110125075103.000|CC1|SITUACIÓN COMO POSIBLE JURADO   
20110125075103.000|20110125075104.000|CC1|EN UN JUICIO.                   
20110125075104.000|20110125075113.000|CC1|AL FINAL NO LO SELECCIONARON.   
20110125075113.000|20110125075113.000|CC1|>> MILES DE PERSONAS OPUESTAS   
20110125075113.000|20110125075118.000|CC1|AL ABORTO MARCHARON HOY EN      
20110125075118.000|20110125075119.000|CC1|WASHINGTON CON DESTINO A LA     
20110125075119.000|20110125075122.000|CC1|SEDE DE LA CORTE SUPREMA PARA   
20110125075122.000|20110125075126.000|CC1|CONMEMORAR EL ANIVERSARIO DE    
20110125075126.000|20110125075127.000|CC1|LA DECISIÓN DEL SUPREMO QUE     
20110125075127.000|20110125075129.000|CC1|LEGALIZÓ ALGUNOS TIPOS DE       
20110125075129.000|20110125075135.000|CC1|ABORTOS.                        
20110125075135.000|20110125075136.000|CC1|>> DURANTE VARIAS SEMANAS       
20110125075136.000|20110125075136.000|CC1|VARIOS OFICIALES DE POLICÍAS    
20110125075136.000|20110125075137.000|CC1|HAN PERDIDO LA VIDA EN DIVERSOS 
20110125075137.000|20110125075138.000|CC1|INCIDENTES NO RELACIONADOS EN   
20110125075138.000|20110125075143.000|CC1|DISTINTOS LUGARES DEL PAÍS.     
20110125075143.000|20110125075143.000|CC1|ESTO HA AUMENTADO EL CLAMOR     
20110125075143.000|20110125075144.000|CC1|PARA QUE SE CREAN REGLAS MÁS    
20110125075144.000|20110125075145.000|CC1|ESTRICTAS PARA EVITAR QUE LAS   
20110125075145.000|20110125075146.000|CC1|ARMAS DE FUEGO CAIGAN EN MANOS  
20110125075146.000|20110125075147.000|CC1|CRIMINALES.                     
20110125075147.000|20110125075148.000|CC1|LOURDES DEL RÍO TIENE EL        
20110125075148.000|20110125075148.000|CC1|INFORME DESDE LA CIUDAD DE      
20110125075148.000|20110125075153.000|CC1|MIAMI.                          
20110125075153.000|20110125075154.000|CC1|>> OCURRIÓ OTRA VEZ,2 POLICÍAS  
20110125075154.000|20110125075155.000|CC1|MURIERON ESTA SEMANA EN UN      
20110125075155.000|20110125075157.000|CC1|ALGUACIL FEDERAL RESULTÓ HERIDO 
20110125075157.000|20110125075157.000|CC1|EN FLORIDA ENTRAS INTENTABA     
20110125075157.000|20110125075201.000|CC1|ARRESTAR A UN SUJETO QUE        
20110125075201.000|20110125075201.000|CC1|PRESENTABA CARGOS CON           
20110125075201.000|20110125075207.000|CC1|AGRAVANTES.                     
20110125075207.000|20110125075208.000|CC1|SIMULTÁNEAMENTE EN MIAMI DONDE  
20110125075208.000|20110125075209.000|CC1|OCURRIÓ ALGO MUY SIMILAR APENAS 
20110125075209.000|20110125075214.000|CC1|EL JUEVES PASADO SE CELEBRABAN  
20110125075214.000|20110125075214.000|CC1|LAS CONMOVEDORAS HONRAS         
20110125075214.000|20110125075215.000|CC1|FÚNEBRES ENTRE OTROS DOS        
20110125075215.000|20110125075216.000|CC1|AGENTES QUE PERDIERON LA VIDA   
20110125075216.000|20110125075221.000|CC1|INTENTANDO REALIZAR UN ARRESTO. 
20110125075221.000|20110125075222.000|CC1|>> ESTAMOS REPRESENTANDO        
20110125075222.000|20110125075222.000|CC1|NUESTRO DEPARTAMENTO, DÁNDOLE   
20110125075222.000|20110125075223.000|CC1|TRIBUTO A LOS OFICIALES QUE     
20110125075223.000|20110125075224.000|CC1|DIERON EL ÚLTIMO SACRIFICIO,    
20110125075224.000|20110125075227.000|CC1|QUE ES LA VIDA.                 
20110125075227.000|20110125075227.000|CC1|>> EL DOMINGO UN HOMBRE ABRIÓ   
20110125075227.000|20110125075228.000|CC1|FUEGO EN UNA ESTACIÓN DE        
20110125075228.000|20110125075229.000|CC1|POLICÍA HIRIENDO A CUATRO       
20110125075229.000|20110125075235.000|CC1|OFICIALES.                      
20110125075235.000|20110125075236.000|CC1|DESDE UN TIEMPO A ESTA PARTE LA 
20110125075236.000|20110125075237.000|CC1|VIOLENCIA CONTRA LOS            
20110125075237.000|20110125075237.000|CC1|UNIFORMADOS PARECE ESTAR        
20110125075237.000|20110125075241.000|CC1|TOMANDO UNA EPIDEMIA.           
20110125075241.000|20110125075241.000|CC1|>>  EL AÑO PASADO LOS           
20110125075241.000|20110125075242.000|CC1|ASESINATOS DE POLICÍAS          
20110125075242.000|20110125075244.000|CC1|AUMENTARON CASI UN 37%.         
20110125075244.000|20110125075247.000|CC1|Y MÁS DE 160 POLICÍAS MURIERON  
20110125075247.000|20110125075252.000|CC1|CUMPLIENDO SUS DEBERES.         
20110125075252.000|20110125075253.000|CC1|ENTONCES ESTAMOS VIENDO, QUIZÁS 
20110125075253.000|20110125075254.000|CC1|POR LA ECONOMÍA, O LA SITUACIÓN 
20110125075254.000|20110125075255.000|CC1|SOCIAL QUE ESTAMOS VIVIENDO EN  
20110125075255.000|20110125075255.000|CC1|ESTE MOMENTO UN INCREMENTO      
20110125075255.000|20110125075301.000|CC1|TERRIBLE.                       
20110125075301.000|20110125075301.000|CC1|>> UN HOMBRE DISPARÓ CONTRA UN  
20110125075301.000|20110125075302.000|CC1|AGENTE DE LA LEY CUANDO ÉSTE LO 
20110125075302.000|20110125075310.000|CC1|DETUVO POR EXCESO DE VELOCIDAD. 
