TOP|20110125190001|2011-01-25_1900_US_KABC_Eyewitness_News_11AM
COL|Communication Studies Archive, UCLA 
UID|ac78fd2e-28bd-11e0-97fe-001517add6fa
DUR|0:59:49.58
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-25 11:00 America/Los_Angeles
SEG_01|2014-06-18 19:01:44|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110125190051.000|20110125195950.000|SEG|Type=Story
20110125190051.000|20110125190053.000|CC1|>> NOT GUILTY.                  
20110125190053.000|20110125190054.000|CC1|THANKS.                         
20110125190054.000|20110125190056.000|CC1|PHILLIP: EMPHATIC NOT GUILTY    
20110125190056.000|20110125190058.000|CC1|PLEA FROM DR. CONRAD MURRAY WHO 
20110125190058.000|20110125190100.000|CC1|FACES POSSIBLE PRISON TIME FOR  
20110125190100.000|20110125190103.000|CC1|HIS ROLE IN THE DEATH OF        
20110125190103.000|20110125190105.000|CC1|MICHAEL JACKSON.                
20110125190105.000|20110125190105.000|CC1|LESLIE: WELCOME TO EYEWITNESS   
20110125190105.000|20110125190108.000|CC1|NEWS AT 11:00 A.M.              
20110125190108.000|20110125190109.000|CC1|MICHAEL JACKSON'S PERSONAL      
20110125190109.000|20110125190110.000|CC1|PHYSICIAN, DR. CONRAD MURRAY,   
20110125190110.000|20110125190112.000|CC1|APPEARED IN COURT THIS MORNING  
20110125190112.000|20110125190118.000|CC1|TO ANSWER TO INVOLUNTARY        
20110125190118.000|20110125190119.000|CC1|MANSLAUGHTER CHARGES.           
20110125190119.000|20110125190121.000|CC1|THE CASE IS HEADED TO TRIAL.    
20110125190121.000|20110125190130.000|CC1|LISA IS LIVE IN DOWNTOWN L.A.   
20110125190130.000|20110125190131.000|CC1|WITH SOME OF JACKSON'S          
20110125190131.000|20110125190132.000|CC1|RELATIVES THIS MORNING.         
20110125190132.000|20110125190134.000|CC1|>> Reporter: HE TOLD THE JUDGE  
20110125190134.000|20110125190137.000|CC1|THAT HE IS AN INNOCENT MAN AS   
20110125190137.000|20110125190139.000|CC1|JACKSON'S FAMILY SAT FEET AWAY  
20110125190139.000|20110125190142.000|CC1|AT THIS MORNING'S HEARING.      
20110125190142.000|20110125190143.000|CC1|MEMBERS OF MICHAEL JACKSON'S    
20110125190143.000|20110125190145.000|CC1|FAMILY WERE HERE FOR THE        
20110125190145.000|20110125190147.000|CC1|ARRAIGNMENT.                    
20110125190147.000|20110125190150.000|CC1|HIS MOTHER, SISTER AND BROTHER  
20110125190150.000|20110125190152.000|CC1|WATCHED AS DR. MURRAY           
20110125190152.000|20110125190153.000|CC1|MAINTAINED HIS INNOCENCE.       
20110125190153.000|20110125190156.000|CC1|>> HOW DO YOU PLEAD?            
20110125190156.000|20110125190201.000|CC1|>> YOUR HONOR, I'M AN INNOCENT  
20110125190201.000|20110125190201.000|CC1|MAN.                            
20110125190201.000|20110125190202.000|CC1|I PLEAD NOT GUILTY.             
20110125190202.000|20110125190204.000|CC1|>> Reporter: JURY TRIAL IS SET  
20110125190204.000|20110125190205.000|CC1|TO BEGIN WITHIN 60 DAYS AND THE 
20110125190205.000|20110125190206.000|CC1|PROSECUTION AND DEFENSE SAY     
20110125190206.000|20110125190208.000|CC1|THEY ARE EAGER TO PROCEED.      
20110125190208.000|20110125190212.000|CC1|>> THE DEFENSE FULLY ENDS TO BE 
20110125190212.000|20110125190214.000|CC1|READY FOR THAT TRIAL, FOR HIS   
20110125190214.000|20110125190217.000|CC1|PART DR. MURRAY IS LOOKING      
20110125190217.000|20110125190218.000|CC1|FORWARD TO THE OPPORTUNITY TO   
20110125190218.000|20110125190221.000|CC1|FINALLY TELL HIS SIDE OF THE    
20110125190221.000|20110125190221.000|CC1|STORY.                          
20110125190221.000|20110125190223.000|CC1|>> I THINK THE PROSECUTION WILL 
20110125190223.000|20110125190225.000|CC1|BE ABLE TO PRODUCE EVIDENCE     
20110125190225.000|20110125190226.000|CC1|THAT WILL FULLY SUPPORT THE     
20110125190226.000|20110125190228.000|CC1|CHARGE AGAINST DR. MURRAY.      
20110125190228.000|20110125190229.000|CC1|>> Reporter: EVIDENCE WAS       
20110125190229.000|20110125190231.000|CC1|COLLECTED AT A WEEK LONG        
20110125190231.000|20110125190233.000|CC1|PRELIMINARY HEARING EARLIER     
20110125190233.000|20110125190234.000|CC1|THIS MONTH.                     
20110125190234.000|20110125190236.000|CC1|22 WITNESSES TESTIFIED,         
20110125190236.000|20110125190236.000|CC1|INCLUDING AN ANESTHESIOLOGIST   
20110125190236.000|20110125190238.000|CC1|FOR THE PROSECUTION WHO SAID    
20110125190238.000|20110125190239.000|CC1|MURRAY IGNORED MICHAEL JACKSON  
20110125190239.000|20110125190243.000|CC1|IN THE MOMENTS AFTER HE WAS     
20110125190243.000|20110125190244.000|CC1|GIVEN PROPOPYL AND THAT THE     
20110125190244.000|20110125190248.000|CC1|DOCTOR WAITED AS LONG AS AN     
20110125190248.000|20110125190250.000|CC1|HOUR FOR HELP AFTER JACKSON     
20110125190250.000|20110125190250.000|CC1|STOPPED BREATHING.              
