TOP|20110126010001|2011-01-26_0100_US_HLN_Nancy_Grace
COL|Communication Studies Archive, UCLA 
UID|f6be1f04-28ef-11e0-823f-001517add6fa
DUR|0:59:49.25
VID|640x480
CMT|
LAN|ENG
LBT|2011-01-25 17:00 America/Los_Angeles
SEG_01|2014-06-18 19:02:10|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110126010017.000|20110126010024.000|SEG|Type=Story
20110126010017.000|20110126010017.000|CC1|>>> THANK YOU, MY FABULOUS      
20110126010017.000|20110126010018.000|CC1|PANEL, AND YOU AT HOME FOR      
20110126010018.000|20110126010019.000|CC1|JOINING ME TONIGHT HERE ON      
20110126010019.000|20110126010019.000|CC1|"ISSUES!."                      
20110126010019.000|20110126010020.000|CC1|ARE YOU AN ADDICT BY THE WAY AND
20110126010020.000|20110126010020.000|CC1|DON'T KNOW IT?                  
20110126010020.000|20110126010021.000|CC1|ARE YOU BEING MANIPULATED?      
20110126010021.000|20110126010021.000|CC1|IF SO, BY WHOM?                 
20110126010021.000|20110126010022.000|CC1|SEVEN DAYS UNTIL MY NEW BOOK    
20110126010022.000|20110126010023.000|CC1|HITS THE STANDS.                
20110126010023.000|20110126010023.000|CC1|GOT TO READ IT.                 
20110126010023.000|20110126010024.000|CC1|UP NEXT, NANCY GRACE.           
20110126010024.000|20110126010300.000|SEG|Type=Story
20110126010024.000|20110126010029.000|CC1|>>> BREAKING NEWS TONIGHT, LIVE,
20110126010029.000|20110126010029.000|CC1|LUBBOCK, TEXAS.                 
20110126010029.000|20110126010030.000|CC1|A 15-YEAR-OLD GIRL LEAVES HOME  
20110126010030.000|20110126010051.000|CC1|TO BABYSIT AND VANISHES.        
20110126010051.000|20110126010052.000|CC1|FORCED AGAINST HER WILL INTO A  
20110126010052.000|20110126010052.000|CC1|LOCAL MOTEL ROOM AND THEN INTO A
20110126010052.000|20110126010053.000|CC1|PARKING LOT.                    
20110126010053.000|20110126010053.000|CC1|NEVER SEEN AGAIN.               
20110126010053.000|20110126010055.000|CC1|THE VIDEO, CLEARLY SHOWING THE  
20110126010055.000|20110126010112.000|CC1|GIRLS, COWERING IN FEAR OF HER  
