TOP|20110126010001|2011-01-26_0100_US_KMEX_Primer_Impacto
COL|Communication Studies Archive, UCLA 
UID|f691c170-28ef-11e0-b10c-001517add6f2
DUR|0:59:49.01
VID|640x480
CMT|
LAN|SPA
LBT|2011-01-25 17:00 America/Los_Angeles
SEG_01|2014-06-18 19:02:11|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110126010205.000|20110126010317.000|SEG|Type=Story
20110126010205.000|20110126010207.000|CC1|que reclama que le devuelvan a  
20110126010207.000|20110126010208.000|CC1|la hija.                        
20110126010208.000|20110126010209.000|CC1|>> Muy bien estamos en vivo con 
20110126010209.000|20110126010210.000|CC1|todos los detalles adelante     
20110126010210.000|20110126010211.000|CC1|Ricardo.                        
20110126010211.000|20110126010213.000|CC1|>> Bárbara y claro que sí se    
20110126010213.000|20110126010215.000|CC1|trata de un caso importantísimo 
20110126010215.000|20110126010217.000|CC1|para los inmigrantes            
20110126010217.000|20110126010218.000|CC1|indocumentados que ahora se     
20110126010218.000|20110126010219.000|CC1|complican más todavía la Corte  
20110126010219.000|20110126010221.000|CC1|Suprema de Missouri falló a     
20110126010221.000|20110126010222.000|CC1|favor la madre pero no quiere   
20110126010222.000|20110126010224.000|CC1|decir que recibirá              
20110126010224.000|20110126010226.000|CC1|automáticamente a su hijo, no,  
20110126010226.000|20110126010231.000|CC1|tiene que ir de nuevo a juicio. 
20110126010231.000|20110126010236.000|CC1|La madre biológica, padres      
20110126010236.000|20110126010238.000|CC1|adoptivos aquí y todos quieren  
20110126010238.000|20110126010240.000|CC1|quedarse con niño.              
20110126010240.000|20110126010243.000|CC1|>> Los 7 jueces dictaminaron que
20110126010243.000|20110126010245.000|CC1|el estado de Missouri cometió   
20110126010245.000|20110126010247.000|CC1|graves errores para entregar el 
20110126010247.000|20110126010249.000|CC1|hijo de encarnación en adopción 
20110126010249.000|20110126010251.000|CC1|a una pareja mientras la madre  
20110126010251.000|20110126010253.000|CC1|cumplía condena en una cárcel   
20110126010253.000|20110126010303.000|CC1|después que fuera arrestada, le 
20110126010303.000|20110126010305.000|CC1|están devolviendo el corte aúna 
20110126010305.000|20110126010306.000|CC1|corte inferior.                 
20110126010306.000|20110126010307.000|CC1|>> Por parte de esta decisión es
20110126010307.000|20110126010310.000|CC1|que la Corte Suprema del estado 
20110126010310.000|20110126010313.000|CC1|de Missouri reconoció que esta  
20110126010313.000|20110126010316.000|CC1|mujer encarnación tiene el      
20110126010316.000|20110126010317.000|CC1|derecho de estar con su hijo.   
20110126010317.000|20110126010536.000|SEG|Type=Story
20110126010317.000|20110126010320.000|CC1|>>> El caso de encarnación,     
20110126010320.000|20110126010321.000|CC1|encontraron que hubo            
20110126010321.000|20110126010323.000|CC1|irregularidades por ejemplo     
20110126010323.000|20110126010325.000|CC1|conflictos de intereses porque  
20110126010325.000|20110126010326.000|CC1|padres contrataron al abogado   
20110126010326.000|20110126010329.000|CC1|que representó a la madre       
20110126010329.000|20110126010330.000|CC1|biológica y la deporte arrogante
20110126010330.000|20110126010332.000|CC1|que pasará ahora o cuanto tiempo
20110126010332.000|20110126010334.000|CC1|más va a tomar el caso.         
20110126010334.000|20110126010336.000|CC1|>> La corte ha indicado quieren 
20110126010336.000|20110126010338.000|CC1|que este case resuelva lo más   
20110126010338.000|20110126010339.000|CC1|pronto posible obviamente todo  
20110126010339.000|20110126010341.000|CC1|el mundo tiene derecho a la     
20110126010341.000|20110126010343.000|CC1|apelación y se puede al leering 
20110126010343.000|20110126010345.000|CC1|ar el tiempo, pero este año el  
20110126010345.000|20110126010347.000|CC1|case va a resolver.             
20110126010347.000|20110126010350.000|CC1|>> Mientras sin duda este tiempo
20110126010350.000|20110126010352.000|CC1|separará más a madre e hijo.    
20110126010352.000|20110126010354.000|CC1|>> Y el punto más fuerte afuera 
20110126010354.000|20110126010356.000|CC1|de encarnación es que ella nunca
20110126010356.000|20110126010357.000|CC1|dio consentimiento para que     
20110126010357.000|20110126010359.000|CC1|entregaran a su hijo en         
20110126010359.000|20110126010401.000|CC1|adopción, y dicen expertos que  
20110126010401.000|20110126010403.000|CC1|es victoria pla que crea preso  
20110126010403.000|20110126010404.000|CC1|dpent quin documentados puedan  
20110126010404.000|20110126010406.000|CC1|pelear casos con los mismos     
20110126010406.000|20110126010409.000|CC1|derechos de cualquier ciudad y  
20110126010409.000|20110126010410.000|CC1|nosotros seguiremos en el       
20110126010410.000|20110126010412.000|CC1|desarrollo de esta batalla legal
20110126010412.000|20110126010412.000|CC1|en Missouri.                    
20110126010412.000|20110126010414.000|CC1|>> Ahí estaremos al pie como es 
20110126010414.000|20110126010415.000|CC1|nuestro responsabilidad gracias 
