TOP|20110126030001|2011-01-26_0300_US_KNBC_President_Obama
COL|Communication Studies Archive, UCLA 
UID|bacedb12-2900-11e0-8bfb-001517add720
DUR|0:59:49.45
VID|640x352
CMT|Obama State of The Union Address to Congress and Followup Coverage
LAN|ENG
LBT|2011-01-25 19:00 America/Los_Angeles
SEG_01|2014-06-18 19:02:25|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110126030005.000|20110126032322.000|SEG|Type=Story
20110126030005.000|20110126030008.000|CC1|RE-ESTABLISHING A STRANGLEHOLD  
20110126030008.000|20110126030009.000|CC1|OVER THE AFGHAN PEOPLE WE WILL  
20110126030009.000|20110126030011.000|CC1|DENY AL QAEDA THE SAFE HAVEN    
20110126030011.000|20110126030013.000|CC1|THAT SERVED AS A LAUNCHING PAD  
20110126030013.000|20110126030014.000|CC1|FOR 9/11.                       
20110126030014.000|20110126030017.000|CC1|THANKS TO OUR HEROIC TROOPS AND 
20110126030017.000|20110126030019.000|CC1|CIVILIANS, FEWER AFGHANS ARE    
20110126030019.000|20110126030021.000|CC1|UNDER THE CONTROL OF THE        
20110126030021.000|20110126030022.000|CC1|INSURGENCY.                     
20110126030022.000|20110126030023.000|CC1|THERE WILL BE TOUGH FIGHTING    
20110126030023.000|20110126030025.000|CC1|AHEAD AND THE AFGHAN GOVERNMENT 
20110126030025.000|20110126030027.000|CC1|WILL NEED TO DELIVER BETTER     
20110126030027.000|20110126030028.000|CC1|GOVERNANCE.                     
20110126030028.000|20110126030031.000|CC1|BUT WE ARE STRENGTHENING THE    
20110126030031.000|20110126030031.000|CC1|CAPACITY OF THE AFGHAN PEOPLE   
20110126030031.000|20110126030033.000|CC1|AND BUILDING AN ENDURING        
20110126030033.000|20110126030034.000|CC1|PARTNERSHIP WITH THEM.          
20110126030034.000|20110126030035.000|CC1|THIS YEAR, WE'LL WORK WITH      
20110126030035.000|20110126030038.000|CC1|NEARLY 50 COUNTRIES TO BEGIN A  
20110126030038.000|20110126030040.000|CC1|TRANSITION TO AN AFGHAN LEAD AND
20110126030040.000|20110126030041.000|CC1|THIS JULY WE WILL BEGIN TO BRING
20110126030041.000|20110126030049.000|CC1|OUR TROOPS HOME.                
20110126030049.000|20110126030056.000|CC1|[ APPLAUSE ]                    
20110126030056.000|20110126030059.000|CC1|IN PAKISTAN, AL QAEDA'S         
20110126030059.000|20110126030100.000|CC1|LEADERSHIP IS UNDER MORE        
20110126030100.000|20110126030103.000|CC1|PRESSURE THAN AT ANY POINT SINCE
20110126030103.000|20110126030103.000|CC1|2001.                           
20110126030103.000|20110126030105.000|CC1|THEIR LEADERS AND OPERATIVES ARE
20110126030105.000|20110126030107.000|CC1|BEING REMOVED FROM THE          
20110126030107.000|20110126030108.000|CC1|BATTLEFIELD.                    
20110126030108.000|20110126030110.000|CC1|THEIR SAFE HAVENS ARE SHRINKING 
20110126030110.000|20110126030111.000|CC1|AND WE HAVE SENT A MESSAGE FROM 
20110126030111.000|20110126030114.000|CC1|THE AFGHAN BORDER TO THE ARABIAN
20110126030114.000|20110126030115.000|CC1|PENINSULA TO ALL PARTS OF THE   
20110126030115.000|20110126030116.000|CC1|GLOBE.                          
20110126030116.000|20110126030118.000|CC1|WE WILL NOT RELENT.             
20110126030118.000|20110126030119.000|CC1|WE WILL NOT WAIVER AND WE WILL  
20110126030119.000|20110126030125.000|CC1|DEFEAT YOU.                     
20110126030125.000|20110126030138.000|CC1|[ APPLAUSE ]                    
20110126030138.000|20110126030140.000|CC1|AMERICAN LEADERSHIP CAN ALSO BE 
20110126030140.000|20110126030141.000|CC1|SEEN IN THE EFFORT TO SECURE THE
20110126030141.000|20110126030143.000|CC1|WORSE WEAPONS OF WAR.           
20110126030143.000|20110126030144.000|CC1|BECAUSE REPUBLICANS AND         
