TOP|20110126070001|2011-01-26_0700_US_KCBS_CBS_2_News_at_11PM
COL|Communication Studies Archive, UCLA 
UID|c3172a68-291e-11e0-b005-001517add6fa
DUR|0:34:48.48
VID|640x368
CMT|
LAN|ENG
LBT|2011-01-25 23:00 America/Los_Angeles
SEG_01|2014-06-18 19:02:41|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110126070002.000|20110126070002.000|XDS|%     CALL: CWD 
20110126070002.000|20110126070002.000|XDS|%  NETWORK: CBS 
20110126070004.000|20110126073449.000|SEG|Type=Story
20110126070004.000|20110126070022.000|SEG_01|Type=Commercial
20110126070004.000|20110126070006.000|CC1|  FEBRUARY 15TH THROUGH THE 20TH
20110126070006.000|20110126070006.000|CC1|         AT THE LEGENDARY       
20110126070006.000|20110126070009.000|CC1|      Riviera Country Club.     
20110126070009.000|20110126070010.000|CC1|           TICKETS $35,         
20110126070010.000|20110126070010.000|CC1|          $30 IN ADVANCE        
20110126070010.000|20110126070022.000|CC1|    AT NorthernTrustOpen.com.   
20110126070022.000|20110126070023.000|SEG_01|Type=Story start
20110126070022.000|20110126070023.000|CC1|PAUL: BREAKING NEWS TONIGHT     
20110126070023.000|20110126070024.000|CC1|IN RIVERSIDE COUNTY, A          
20110126070024.000|20110126070026.000|CC1|FIREFIGHTER IS INJURED WHEN     
20110126070026.000|20110126070027.000|CC1|A SAN FRANCISCO EXPLODES.       
20110126070027.000|20110126070030.000|CC1|IT HAPPENED IN PERRIS ON WAR    
20110126070030.000|20110126070030.000|CC1|ENROAD NEAR BROWN STREET.       
20110126070030.000|20110126070035.000|CC1|THE EXPLOSION WAS CAUSED BY     
20110126070035.000|20110126070037.000|CC1|A PROPANE TANK.                 
20110126070037.000|20110126070039.000|CC1|PAT: WE DON'T KNOW HOW BADLY    
20110126070039.000|20110126070039.000|CC1|THAT FIREFIGHTER WAS HURT       
20110126070039.000|20110126070042.000|CC1|AND NO WORD ON THE FATE OF      
20110126070042.000|20110126070042.000|CC1|PEOPLE INSIDE.                  
20110126070042.000|20110126070044.000|CC1|INVESTIGATORS ARE ON SCENE      
20110126070044.000|20110126070045.000|CC1|TRYING TO FIGURE OUT WHAT       
20110126070045.000|20110126070045.000|CC1|HAPPENED.                       
20110126070045.000|20110126070047.000|CC1|PAUL: STILL A LOT OF            
20110126070047.000|20110126070048.000|CC1|QUESTIONS WHY POLICE WERE       
20110126070048.000|20110126070049.000|CC1|UNABLE TO STOP A DRIVER         
20110126070049.000|20110126070051.000|CC1|BEFORE HE SLAMMED INTO          
20110126070051.000|20110126070052.000|CC1|ANOTHER CAR DURING LAST         
20110126070052.000|20110126070053.000|CC1|NIGHT'S PURSUIT.                
20110126070053.000|20110126070055.000|CC1|SERENE BRANSON IS LIVE IN       
20110126070055.000|20110126070056.000|CC1|COVINA WITH NEW INFORMATION     
20110126070056.000|20110126070058.000|CC1|ON BOTH DRIVERS AND WHAT        
20110126070058.000|20110126070059.000|CC1|HAPPENED TO THAT DOG THAT       
20110126070059.000|20110126070059.000|CC1|BAILED OUT.                     
20110126070059.000|20110126070100.000|CC1|>>Reporter: WE ARE LEARNING     
20110126070100.000|20110126070101.000|CC1|A LOT MORE ABOUT THE PURSUIT    
20110126070101.000|20110126070103.000|CC1|AND THAT HORRIBLE CRASH THAT    
20110126070103.000|20110126070104.000|CC1|HAPPENED RIGHT HERE AT THE      
20110126070104.000|20110126070107.000|CC1|CORNER OF PUENTE AND            
20110126070107.000|20110126070111.000|CC1|BARRANCA IN COVINA.             
