TOP|20110127063001|2011-01-27_0630_US_ComedyCentral_Daily_Show
COL|Communication Studies Archive, UCLA 
UID|0a66a398-29e3-11e0-b410-001517add6f2
DUR|0:29:49.08
VID|640x480
CMT|
LAN|ENG
LBT|2011-01-26 22:30 America/Los_Angeles
SEG_01|2014-06-18 19:04:14|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110127063003.000|20110127065950.000|SEG|Type=Story
20110127063003.000|20110127063033.000|SEG_01|Type=Commercial
20110127063003.000|20110127063005.000|CC1|    ( pedestrians screaming )   
20110127063005.000|20110127063007.000|CC1|( growling )                    
20110127063007.000|20110127063009.000|CC1|         ( sputtering )         
20110127063009.000|20110127063013.000|CC1|  WHO'S KICKING WHO AROUND NOW? 
20110127063013.000|20110127063014.000|CC1|          ( growling )          
20110127063014.000|20110127063016.000|CC1|( screaming )                   
20110127063016.000|20110127063018.000|CC1|           ( howling )          
20110127063018.000|20110127063020.000|CC1| ( "Hail to the Chief" playing )
20110127063020.000|20110127063021.000|CC1|          ( screaming )         
20110127063021.000|20110127063023.000|CC1|                KNOCK, KNOCK.   
20110127063023.000|20110127063025.000|CC1|   ( growling and sputtering )  
20110127063025.000|20110127063025.000|CC1|          Captioned by          
20110127063025.000|20110127063025.000|CC1|    Media Access Group at WGBH  
20110127063025.000|20110127063033.000|CC1|         access.wgbh.org        
20110127063033.000|20110127063037.000|SEG_01|Type=Story start
20110127063033.000|20110127063037.000|CC1|>> JANUARY 26, 2011, FROM COMEDY
20110127063037.000|20110127063038.000|CC1|CENTRAL'S WORLD NEWS            
20110127063038.000|20110127063040.000|CC1|HEADQUARTERS IN NEW YORK, THIS  
20110127063040.000|20110127063043.000|CC1|IS "THE DAILY SHOW" WITH JON    
20110127063043.000|20110127063043.000|CC1|STEWART.                        
20110127063043.000|20110127063053.000|SEG_01|Type=Commercial
20110127063043.000|20110127063046.000|CC1|( CHEERS AND APPLAUSE )         
20110127063046.000|20110127063047.000|CC1| Captioning sponsored by        
20110127063047.000|20110127063053.000|CC1| COMEDY CENTRAL                 
20110127063053.000|20110127063054.000|SEG_01|Type=Story start
20110127063053.000|20110127063054.000|CC1|>> Jon:  WELCOME TO THE         
20110127063054.000|20110127063055.000|CC1|"DAILY SHOW" LADIES AND         
20110127063055.000|20110127063055.000|CC1|GENTLEMEN!                      
20110127063055.000|20110127063057.000|CC1|I'M JON STEWART.                
20110127063057.000|20110127063058.000|CC1|POLITICAL AUTHOR JONATHAN ALTER 
20110127063058.000|20110127063100.000|CC1|WILL BE JOINING US.             
20110127063100.000|20110127063102.000|CC1|WE BEGIN WITH THE BIG POLITICAL 
20110127063102.000|20110127063103.000|CC1|STORY OF...                     
20110127063103.000|20110127063104.000|CC1|YESTERDAY                       
20110127063104.000|20110127063104.000|CC1|( LAUGHTER )                    
20110127063104.000|20110127063105.000|CC1|LAST NIGHT, BARACK OBAMA        
20110127063105.000|20110127063106.000|CC1|DELIVERED HIS SECOND STATE OF   
20110127063106.000|20110127063108.000|CC1|THE UNION ADDRESS, ALONG WITH   
20110127063108.000|20110127063110.000|CC1|WHAT APPEARS TO LOOK LIKE A     
20110127063110.000|20110127063113.000|CC1|BUDDY COMEDY SCREEN PLAY HE     
20110127063113.000|20110127063118.000|CC1|BELIEVES JOE BIDEN AND JOHN     
20110127063118.000|20110127063119.000|CC1|BOEHNER WOULD BE PERFECT FOR.   
20110127063119.000|20110127063123.000|CC1|IT'S CALLED WATER WORKS AND     
20110127063123.000|20110127063123.000|CC1|MOTORMOUTH.                     
20110127063123.000|20110127063125.000|CC1|JOHN BOEHNER IS RALPH WATERWORKS
20110127063125.000|20110127063130.000|CC1|AND JOE BIDEN WON'T SHUT UP.    
20110127063130.000|20110127063133.000|CC1|ANYHOW-- LAST NIGHT WAS A BIT   
20110127063133.000|20110127063134.000|CC1|UNUSUAL.                        
20110127063134.000|20110127063135.000|CC1|N THAT TO HONOR RECUPERATING    
20110127063135.000|20110127063138.000|CC1|COLLEAGUE GABBY GIFFORDSS       
20110127063138.000|20110127063139.000|CC1|REPUBLICANS AND DEMOCRATS SAT   
20110127063139.000|20110127063141.000|CC1|TOGETHER RISKING PHYSICAL       
20110127063141.000|20110127063143.000|CC1|CONTACT WITH PEOPLE WHO DISAGREE
20110127063143.000|20110127063145.000|CC1|WITH THEM POLITICALLY.          
20110127063145.000|20110127063146.000|CC1|JOHN McCAIN AND JOHN KERRY      
20110127063146.000|20110127063149.000|CC1|NATURALLY PAIRED OFF.           
20110127063149.000|20110127063151.000|CC1|KIRSTEN GILLIBRAND AND JOHN     
20110127063151.000|20110127063152.000|CC1|THUNE SAT TOGETHER TO REMIND    
20110127063152.000|20110127063153.000|CC1|EVERYONE IF THE SENATE WAS EVER 
20110127063153.000|20110127063155.000|CC1|CALLED UPON TO REPOPULATE THE   
