TOP|20110127080502|2011-01-27_0805_US_KABC_Jimmy_Kimmel_Live
COL|Communication Studies Archive, UCLA 
UID|ec0f1d28-29f4-11e0-8cee-001517add6fa
DUR|1:02:49.03
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-27 00:05 America/Los_Angeles
SEG_01|2014-06-18 19:04:25|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110127080537.000|20110127080537.000|XDS|%  NETWORK: ABC
20110127080537.000|20110127080537.000|XDS|%   RATING: (NOT RATED) (72)
20110127080537.000|20110127080537.000|XDS|%    TITLE: ABC NEWS NIGHTLINE
20110127080537.000|20110127080537.000|XDS|%     CALL:   
20110127080538.000|20110127080538.000|XDS|% TIMECODE: 1/27 2:35
20110127080538.000|20110127080538.000|XDS|%   LENGTH: 1:27:00 of 2:35:00
20110127080538.000|20110127080538.000|XDS|%   LENGTH: 0:29:00 of 0:31:00
20110127080546.000|20110127090751.000|SEG|Type=Story
20110127080546.000|20110127080548.000|CC1|>>> TIME NOW FOR TONIGHT'S      
20110127080548.000|20110127080549.000|CC1|CLOSING ARGUMENT.               
20110127080549.000|20110127080552.000|CC1|AND AN UNUSUAL CASE IN OHIO.    
20110127080552.000|20110127080554.000|CC1|KELLY WILLIAMS BOLLAR WAS       
20110127080554.000|20110127080555.000|CC1|SENTENCED LAST WEEK TO TEN DAYS 
20110127080555.000|20110127080558.000|CC1|IN COUNTY JAIL FOR FALSIFYING   
20110127080558.000|20110127080600.000|CC1|RESIDENCY RECORDS IN ORDER TO   
20110127080600.000|20110127080601.000|CC1|GET HER TWO DAUGHTERS INTO A    
20110127080601.000|20110127080603.000|CC1|BETTER SCHOOL DISTRICT.         
20110127080603.000|20110127080605.000|CC1|SHE SAID SHE DID IT TO KEEP HER 
20110127080605.000|20110127080607.000|CC1|KIDS SAFE, BUT THAT DIDN'T CUT  
20110127080607.000|20110127080608.000|CC1|IT WITH THE JUDGE, WHO ALSO     
20110127080608.000|20110127080610.000|CC1|SLAPPED HER WITH TWO YEARS      
20110127080610.000|20110127080610.000|CC1|PROBATION.                      
20110127080610.000|20110127080613.000|CC1|SO, TONIGHT, WE ASK YOU, DO YOU 
20110127080613.000|20110127080615.000|CC1|UNDERSTAND WHY SHE DID IT?      
20110127080615.000|20110127080616.000|CC1|WOULD YOU DO IT?                
20110127080616.000|20110127080618.000|CC1|WE'VE ALREADY HEARD FROM MANY OF
20110127080618.000|20110127080620.000|CC1|YOU ON FACEBOOK AND TWITTER     
20110127080620.000|20110127080621.000|CC1|TONIGHT, BUT PLEASE JOIN THE    
20110127080621.000|20110127080624.000|CC1|CONVERSATION AT THE "NIGHTLINE" 
20110127080624.000|20110127080624.000|CC1|FA                              
20110127080624.000|20110127080625.000|CC1|FACEBOOK PAGE OR THE "NIGHTLINE"
20110127080625.000|20110127080627.000|CC1|PAGE AT ABCNEWS.COM.            
20110127080627.000|20110127080629.000|CC1|THAT'S OUR REPORT FOR TONIGHT.  
20110127080629.000|20110127080630.000|CC1|FOR ALL OF US AT ABC NEWS, GOOD 
20110127080630.000|20110127080638.000|CC1|NIGHT, AMERICA.                 
20110127080636.000|20110127080636.000|XDS|%   LENGTH: 0:30:00 of 0:31:00
20110127080637.000|20110127080637.000|XDS|%    TITLE:   
20110127080638.000|20110127080640.000|CC1|>> Jimmy: HI, I'M JIMMY KIMMEL  
20110127080640.000|20110127080640.000|XDS|%   RATING: (NOT RATED) (104)
20110127080640.000|20110127080640.000|XDS|%    TITLE: JIMMY KIMMEL LIVE
20110127080641.000|20110127080641.000|XDS|% TIMECODE: 1/27 3:06
20110127080641.000|20110127080641.000|XDS|%   LENGTH: 1:27:00 of 3:06:00
20110127080641.000|20110127080641.000|XDS|%   LENGTH: 0:00:00 of 1:00:00
20110127080640.000|20110127080642.000|CC1|WITH A WORD ABOUT RED BOX,      
20110127080642.000|20110127080644.000|CC1|AMERICA'S DESTINATION FOR MOVIE 
20110127080644.000|20110127080644.000|CC1|RENTALS.                        
20110127080644.000|20110127080645.000|CC1|WITH ABOUT 25,000 LOCATIONS     
20110127080645.000|20110127080647.000|CC1|AROUND THE COUNTRY, RED BOX IS  
20110127080647.000|20110127080650.000|CC1|THE FAST AND EASY WAY TO RENT   
20110127080650.000|20110127080652.000|CC1|MOVIES FOR JUST $1 A NIGHT.     
20110127080652.000|20110127080653.000|CC1|I WOULD LIKE TO SHOW YOU HOW    
20110127080653.000|20110127080655.000|CC1|EASY IT IS WITH THE HELP OF MY  
20110127080655.000|20110127080658.000|CC1|LOVELY ASSISTANT, GUILLERMO.    
20110127080658.000|20110127080700.000|CC1|UM, HEY, ALL YOU HAVE TO DO IS  
