TOP|20110127150001|2011-01-27_1500_US_KABC_Good_Morning_America
COL|Communication Studies Archive, UCLA 
UID|7a62d3c4-2a2e-11e0-87be-001517add720
DUR|0:59:38.56
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-27 07:00 America/Los_Angeles
SEG_01|2014-06-18 19:04:39|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110127150006.000|20110127150006.000|XDS|%  NETWORK: ABC
20110127150006.000|20110127150006.000|XDS|%    TITLE:   
20110127150006.000|20110127150006.000|XDS|%     CALL:   
20110127150006.000|20110127150006.000|XDS|% TIMECODE: 1/27 7:30
20110127150009.000|20110127150009.000|XDS|%   RATING: (NOT RATED) (72)
20110127150009.000|20110127150009.000|XDS|%    TITLE: GOOD MORNING AMERICA
20110127150009.000|20110127150009.000|XDS|% TIMECODE: 1/27 10:00
20110127150009.000|20110127150009.000|XDS|%   LENGTH: 0:00:00 of 1:00:00
20110127150009.000|20110127150034.000|SEG|Type=Story
20110127150009.000|20110127150011.000|SEG_01|Type=Commercial
20110127150009.000|20110127150010.000|CC1|>>> GOOD MORNING, AMERICA.      
20110127150010.000|20110127150011.000|CC1|I'M GEORGE STEPHANOPOULOS.      
20110127150011.000|20110127150013.000|SEG_01|Type=Story start
20110127150011.000|20110127150013.000|CC1|>> AND I'M ELIZABETH VARGAS.    
20110127150013.000|20110127150015.000|CC1|IT'S A SNOWY, JANUARY 27th.     
20110127150015.000|20110127150017.000|CC1|AND COMING UP THIS MORNING, SNOW
20110127150017.000|20110127150019.000|CC1|STRIKES AGAIN.                  
20110127150019.000|20110127150020.000|CC1|AND IT'S WORSE THAN ANYBODY     
20110127150020.000|20110127150021.000|CC1|THOUGHT.                        
20110127150021.000|20110127150022.000|CC1|SETTING RECORDS FROM D.C. TO    
20110127150022.000|20110127150023.000|CC1|BOSTON.                         
20110127150023.000|20110127150024.000|CC1|THOUSANDS STRANDED WITHOUT      
20110127150024.000|20110127150025.000|CC1|POWER.                          
20110127150025.000|20110127150029.000|CC1|MAJOR HIGHWAYS CLOSED RIGHT NOW.
20110127150029.000|20110127150031.000|CC1|AND IN THE CAPITOL, SIX-HOUR    
20110127150031.000|20110127150033.000|CC1|EVENING COMMUTES.               
20110127150033.000|20110127150033.000|CC1|EVEN THE PRESIDENT, FIGHTING TO 
20110127150033.000|20110127150034.000|CC1|GET HOME TO THE WHITE HOUSE.    
20110127150034.000|20110127150041.000|SEG|Type=Story
20110127150034.000|20110127150035.000|CC1|>>> MISSIONARY MURDER.          
20110127150035.000|20110127150036.000|CC1|A HUSBAND'S FRANTIC RACE TO THE 
20110127150036.000|20110127150038.000|CC1|AMERICAN BORDER TO SAVE HIS     
20110127150038.000|20110127150040.000|CC1|WOUNDED WIFE, AFTER GUNMEN FIRE 
20110127150040.000|20110127150041.000|CC1|ON THEM IN MEXICO.              
20110127150041.000|20110127150052.000|SEG|Type=Story
20110127150041.000|20110127150046.000|CC1|>>> PARROTHEAD FALL.            
20110127150046.000|20110127150048.000|CC1|JIMMY BUFFETT LEAVES THE        
20110127150048.000|20110127150049.000|CC1|HOSPITAL AFTER TUMBLING OFF A   
20110127150049.000|20110127150050.000|CC1|STAGE DURING A CONCERT DOWN     
20110127150050.000|20110127150051.000|CC1|UNDER.                          
20110127150051.000|20110127150052.000|CC1|WE HAVE THE LATEST ON HIS       
20110127150052.000|20110127150052.000|CC1|CONDITION.                      
20110127150052.000|20110127150108.000|SEG|Type=Story
20110127150052.000|20110127150054.000|CC1|>>> AND THE MUSIC MYSTERY.      
20110127150054.000|20110127150056.000|CC1|WE HAVE THE ANSWER HOW THE GRAND
20110127150056.000|20110127150056.000|CC1|PIANO LANDED ON A SANDBAR IN    
20110127150100.000|20110127150100.000|XDS|%   LENGTH: 0:01:00 of 1:00:00
20110127150056.000|20110127150108.000|CC1|MIAMI'S BISCAYNE BAY.           
20110127150108.000|20110127150748.000|SEG|Type=Story
20110127150108.000|20110127150109.000|CC1|>>> I WISH WE WERE IN MIAMI THIS
20110127150109.000|20110127150110.000|CC1|MORNING.                        
20110127150110.000|20110127150112.000|CC1|>> NO KIDDING.                  
20110127150112.000|20110127150113.000|CC1|JUST WHEN YOU THOUGHT IT        
20110127150113.000|20110127150116.000|CC1|COULDN'T GET ANY WORSE, IT HAS. 
20110127150116.000|20110127150118.000|CC1|LOOK AT THESE LIVE PICTURES FROM
20110127150118.000|20110127150119.000|CC1|UP AND DOWN THE EAST COAST THIS 
20110127150119.000|20110127150120.000|CC1|MORNING.                        
20110127150120.000|20110127150121.000|CC1|PHILADELPHIA, A FOOT AND A HALF 
20110127150121.000|20110127150123.000|CC1|OF SNOW.                        
20110127150123.000|20110127150124.000|CC1|ALREADY IN NEW YORK, THE MOST   
20110127150124.000|20110127150126.000|CC1|SNOW EVER IN JANUARY.           
20110127150126.000|20110127150128.000|CC1|>> WE'VE GONE THROUGH ALL THE   
20110127150128.000|20110127150130.000|CC1|SNOW REMOVAL BUDGETS IN MANY OF 
20110127150130.000|20110127150131.000|CC1|THE CITIES AND STATES.          
20110127150131.000|20110127150133.000|CC1|IT'S INCREDIBLE.                
20110127150133.000|20110127150134.000|CC1|>> EIGHT SNOWSTORMS HERE IN NEW 
20110127150134.000|20110127150134.000|CC1|YORK, SINCE MID-DECEMBER.       
20110127150134.000|20110127150135.000|CC1|ONCE EVERY FIVE DAYS.           
20110127150135.000|20110127150136.000|CC1|>> SCHOOLS ARE CLOSED IN BOSTON,
20110127150136.000|20110127150138.000|CC1|NEW YORK CITY, WASHINGTON, D.C. 
20110127150138.000|20110127150140.000|CC1|PEOPLE ALL OVER THE NORTHEAST   
20110127150140.000|20110127150141.000|CC1|ARE HAVING ONE HECK OF A TIME   
20110127150141.000|20110127150142.000|CC1|TRYING TO GET TO WORK.          
20110127150142.000|20110127150144.000|CC1|SOME PEOPLE DIDN'T EVEN MAKE IT 
20110127150144.000|20110127150145.000|CC1|HOME LAST NIGHT FROM THEIR      
20110127150145.000|20110127150147.000|CC1|OFFICES BECAUSE THE STORM       
20110127150147.000|20110127150148.000|CC1|STARTED AROUND DINNER TIME LAST 
20110127150148.000|20110127150151.000|CC1|NIGHT.                          
20110127150151.000|20110127150153.000|CC1|AND IN THE CAPITOL, IT WAS A    
20110127150153.000|20110127150154.000|CC1|NIGHTMARE COMMUTE.              
20110127150154.000|20110127150155.000|CC1|SO MANY PEOPLE STUCK IN DIRE    
20110127150155.000|20110127150156.000|CC1|CONDITIONS FOR HOURS, INCLUDING 
20110127150156.000|20110127150158.000|CC1|OUR OWN ABC NEWS STAFFERS, WHO  
20110127150158.000|20110127150159.000|CC1|ARE GOING TO GIVE US A VIDEO    
20110127150159.000|20110127150200.000|CC1|NOTEBOOK ON WHAT IT WAS LIKE TO 
20110127150200.000|20110127150200.000|XDS|%   LENGTH: 0:02:00 of 1:00:00
20110127150200.000|20110127150201.000|CC1|GET HOME.                       
20110127150201.000|20110127150202.000|CC1|>> I GOT OUT OF WASHINGTON JUST 
20110127150202.000|20110127150204.000|CC1|IN THE NICK OF TIME.            
20110127150204.000|20110127150206.000|CC1|ALL THE TRAINS WERE PACKED      
20110127150206.000|20110127150207.000|CC1|BECAUSE PEOPLE KNEW IT WAS      
20110127150207.000|20110127150208.000|CC1|COMING.                         
20110127150208.000|20110127150210.000|CC1|THAT DIDN'T MAKE IT ANY EASIER. 
20110127150210.000|20110127150211.000|CC1|TO GO FOR A STRETCH OF A COUPLE 
20110127150211.000|20110127150211.000|CC1|MILES TOOK SEVERAL HOURS.       
20110127150211.000|20110127150213.000|CC1|>> OH, MY GOSH.                 
20110127150213.000|20110127150214.000|CC1|>> WE HAVE FULL TEAM COVERAGE OF
20110127150214.000|20110127150216.000|CC1|THIS.                           
20110127150216.000|20110127150217.000|CC1|WE'LL START WITH SAM, TRACKING  
20110127150217.000|20110127150218.000|CC1|THE STORM UP IN COLUMBUS CIRCLE.
20110127150218.000|20110127150220.000|CC1|SAM?                            
20110127150220.000|20110127150221.000|CC1|>> GOOD MORNING, GEORGE AND     
20110127150221.000|20110127150223.000|CC1|ELIZABETH.                      
20110127150223.000|20110127150224.000|CC1|AND IF THIS KEEPS UP, IT WILL BE
20110127150224.000|20110127150225.000|CC1|A RECORD-SETTING WINTER FOR ALL 
20110127150225.000|20110127150226.000|CC1|LOCATIONS.                      
20110127150226.000|20110127150227.000|CC1|JUST TAKE NEW YORK CITY, FOR    
20110127150227.000|20110127150228.000|CC1|EXAMPLE.                        
20110127150228.000|20110127150230.000|CC1|NORMALLY, ON AN AVERAGE WINTER  
20110127150230.000|20110127150231.000|CC1|SEASON, AND THAT'S AVERAGE.     
20110127150231.000|20110127150231.000|CC1|SOME YEARS ARE MORE.            
20110127150231.000|20110127150233.000|CC1|SOME YEARS ARE LESS.            
20110127150233.000|20110127150234.000|CC1|YOU WOULD EXPECT 22 INCHES OF   
20110127150234.000|20110127150235.000|CC1|SNOW ON THE GROUND.             
20110127150235.000|20110127150236.000|CC1|YEAH.                           
20110127150236.000|20110127150237.000|CC1|YOU'D CALL THAT A PRETTY GOOD   
20110127150237.000|20110127150239.000|CC1|WINTER IN GENERAL.              
20110127150239.000|20110127150240.000|CC1|SO FAR, WE'RE AT 56 INCHES OF   
20110127150240.000|20110127150241.000|CC1|SNOW ON THE GROUND.             
20110127150241.000|20110127150242.000|CC1|THAT'S JUST SO FAR.             
20110127150242.000|20110127150248.000|CC1|WELCOME TO THE NEW ARCTIC ZONE. 
20110127150248.000|20110127150249.000|CC1|>> WOW.                         
20110127150249.000|20110127150251.000|CC1|THAT'S CRAZY.                   
20110127150251.000|20110127150253.000|CC1|>> Reporter: OVERNIGHT, RARE    
20110127150253.000|20110127150257.000|CC1|THUNDER SNOW SHOCKED PEOPLE IN  
20110127150257.000|20110127150259.000|CC1|PLACES LIKE SELLERSVILLE,       
20110127150259.000|20110127150300.000|CC1|PENNSYLVANIA.                   
20110127150300.000|20110127150302.000|CC1|AND IN NEW YORK CITY, OFFICIALS 
20110127150302.000|20110127150303.000|CC1|DECLARED A WINTER EMERGENCY.    
20110127150303.000|20110127150304.000|CC1|IN NEIGHBORING LONG ISLAND, TWO 
20110127150306.000|20110127150306.000|XDS|%   LENGTH: 0:03:00 of 1:00:00
20110127150304.000|20110127150307.000|CC1|SNOWSTORM-RELATED DEATHS.       
20110127150307.000|20110127150310.000|CC1|MAJOR INTERSTATE, I-95 SHUT DOWN
20110127150310.000|20110127150315.000|CC1|IN DARIEN, CONNECTICUT.         
20110127150315.000|20110127150317.000|CC1|STATE POLICE HAVE TALLIED MORE  
20110127150317.000|20110127150319.000|CC1|THAN 500 ACCIDENTS.             
20110127150319.000|20110127150320.000|CC1|AND IN WASHINGTON, D.C., FIVE   
20110127150320.000|20110127150320.000|CC1|INCHES OF SNOW SMOTHERED THE    
20110127150320.000|20110127150321.000|CC1|CITY, CAUSING CARS TO SPIN OUT  
20110127150321.000|20110127150322.000|CC1|OF CONTROL.                     
20110127150322.000|20110127150322.000|CC1|IT'S ABOUT 8:00 AT NIGHT.       
20110127150322.000|20110127150323.000|CC1|AND FROM WASHINGTON TO          
20110127150323.000|20110127150324.000|CC1|BALTIMORE, IT'S SNOWING ABOUT   
20110127150324.000|20110127150325.000|CC1|TWO TO THREE INCHES AN HOUR.    
20110127150325.000|20110127150326.000|CC1|WHITEOUT CONDITIONS.            
20110127150326.000|20110127150328.000|CC1|HERE IN NEW YORK, IT STARTED AS 
20110127150328.000|20110127150329.000|CC1|A COATING OF ICY SLEET.         
20110127150329.000|20110127150332.000|CC1|BUT IN JUST A FEW HOURS, IT'S   
20110127150332.000|20110127150332.000|CC1|THAT, ON THE ROAD, COVERED IN   
20110127150332.000|20110127150334.000|CC1|SNOW.                           
20110127150334.000|20110127150341.000|CC1|LOOK AT THIS TIME LAPSE VIDEO   
20110127150341.000|20110127150342.000|CC1|FROM OUR GO GAM                 
20110127150342.000|20110127150342.000|CC1|FROM OUR STORM SPOTTERS.        
20110127150342.000|20110127150343.000|CC1|UP TO A FOOT AND A HALF OF SNOW 
20110127150343.000|20110127150344.000|CC1|FELL IN MAJOR CITIES LIKE       
20110127150344.000|20110127150344.000|CC1|PHILADELPHIA.                   
