TOP|20110128010001|2011-01-28_0100_US_KABC_Eyewitness_News_5PM
COL|Communication Studies Archive, UCLA 
UID|4c202bb6-2a82-11e0-acf6-001517add6fa
DUR|0:59:49.35
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-27 17:00 America/Los_Angeles
SEG_01|2014-02-03 01:07:38|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20110128010003.000|20110128015950.000|SEG|Type=Story
20110128010003.000|20110128010005.000|CC1|MERCEDES WAS STOLEN OUT OF      
20110128010005.000|20110128010006.000|CC1|HIS GARAGE AND FOUND IN THE     
20110128010006.000|20110128010007.000|CC1|ABOUT.                          
20110128010007.000|20110128010010.000|CC1|A RAVINE NEAR HIS HOME.         
20110128010010.000|20110128010012.000|CC1|IN 2009 HE FACED ASSAULT        
20110128010012.000|20110128010013.000|CC1|CHARGES IN ASPEN.               
20110128010013.000|20110128010016.000|CC1|LAST NIGHT, HIS COSTAR JON      
20110128010016.000|20110128010020.000|CC1|CRYER APPEARED ON CONAN OH,     
20110128010020.000|20110128010022.000|CC1|BRIAN AND TALKED ABOUT THE      
20110128010022.000|20110128010026.000|CC1|HOW STRANGE THINGS HAPPEN TO    
20110128010026.000|20110128010027.000|CC1|SHEEN.                          
20110128010027.000|20110128010030.000|CC1|>> HE SAID I'M DOING OKAY,      
20110128010030.000|20110128010031.000|CC1|BUT SOMEBODY STOLE MY CAR       
20110128010031.000|20110128010034.000|CC1|AND DROVE IT OFF THE CLIFF      
20110128010034.000|20110128010035.000|CC1|LAST NIGHT, BUT NORMALLY YOU    
20110128010035.000|20110128010036.000|CC1|WOULD NOT BELIEVE, THAT BUT     
20110128010036.000|20110128010037.000|CC1|FROM CHARLIE SHEEN YOU          
20110128010037.000|20110128010039.000|CC1|BELIEVE THAT, THAT HAPPENS      
20110128010039.000|20110128010043.000|CC1|TO HIM, TWICE.                  
20110128010043.000|20110128010046.000|CC1|>> Reporter: JUST LAST WEEK     
20110128010046.000|20110128010047.000|CC1|CBS' ENTERTAINMENT PRESIDENT    
20110128010047.000|20110128010049.000|CC1|SAID THAT NETWORK OFFICIALS     
20110128010049.000|20110128010051.000|CC1|QUOTE HAVE A HIGH LEVEL OF      
20110128010051.000|20110128010053.000|CC1|CONCERNS ABOUT HIS OFF          
20110128010053.000|20110128010055.000|CC1|CAMERA BEHAVIOR, HIS SITCOM     
20110128010055.000|20110128010059.000|CC1|IS NOW ON HATE US, JOVANA       
20110128010059.000|20110128010100.000|CC1|LARA, "ABC7 EYEWITNESS          
20110128010100.000|20110128010100.000|CC1|NEWS."                          
20110128010100.000|20110128010101.000|CC1|MARC: THANK YOU.                
20110128010101.000|20110128010103.000|CC1|NEW AT 5:00, STARTLING NEW      
20110128010103.000|20110128010104.000|CC1|REVELATION IN THE "GRIM         
20110128010104.000|20110128010105.000|CC1|SLEEPER" INVESTIGATION, THE     
20110128010105.000|20110128010107.000|CC1|MURDER OF TWO MORE WOMEN IN     
20110128010107.000|20110128010108.000|CC1|1990s MAY BE CONNECTED TO       
20110128010108.000|20110128010113.000|CC1|THE ACCUSED SIEVIAL --          
20110128010113.000|20110128010114.000|CC1|SERIAL KILLER.                  
20110128010114.000|20110128010116.000|CC1|MIRIAM HERNANDEZ IS LIVE AT     
20110128010116.000|20110128010117.000|CC1|L.A.P.D. HEADQUARTERS IN        
20110128010117.000|20110128010120.000|CC1|DOWNTOWN L.A. WITH NEW          
20110128010120.000|20110128010122.000|CC1|DETAILS.                        
20110128010122.000|20110128010123.000|CC1|>> Reporter: THEY GOT A LIT     
20110128010123.000|20110128010125.000|CC1|ON THE TWO CASES WHILE THEY     
20110128010125.000|20110128010127.000|CC1|WERE TAKING ON A MONUMENTAL     
20110128010127.000|20110128010128.000|CC1|TASK, TRYING TO IDENTIFY        
20110128010128.000|20110128010130.000|CC1|SCORES OF WOMEN FROM PHOTOS     
20110128010130.000|20110128010132.000|CC1|THEY FOUND IN THE SUSPECT'S     
20110128010132.000|20110128010133.000|CC1|HOUSE, AND THEY WERE GOING      
20110128010133.000|20110128010135.000|CC1|THROUGH A LOT OF OLD CASES,     
20110128010135.000|20110128010137.000|CC1|DOZENS OF THEM BACK INTO THE    
20110128010137.000|20110128010143.000|CC1|1990s, EARLY -- LATE            
20110128010143.000|20110128010145.000|CC1|1980s, TRYING TO FIND WHO       
20110128010145.000|20110128010146.000|CC1|WAS RESPONSIBLE IN THE COLD     
20110128010146.000|20110128010148.000|CC1|CASES, THIS IS A TIME WHERE     
20110128010148.000|20110128010149.000|CC1|HOMICIDES WERE RAMPANT IN       
20110128010149.000|20110128010152.000|CC1|SOUTH L.A., LONNIE FRANKLIN     
20110128010152.000|20110128010154.000|CC1|JR., IS ACCUSED OF KILLING      
20110128010154.000|20110128010155.000|CC1|10 WOMEN IN SOUTH L.A. OVER     
20110128010155.000|20110128010158.000|CC1|A SPAN OF 22 YEARS, HIS         
20110128010158.000|20110128010200.000|CC1|PATTERN SO HABITUAL,            
20110128010200.000|20110128010201.000|CC1|L.A.P.D. DETECTIVES             
20110128010201.000|20110128010202.000|CC1|SUSPECTED THERE MAY HAVE        
20110128010202.000|20110128010204.000|CC1|BEEN MORE VICTIMS.              
20110128010204.000|20110128010206.000|CC1|NOW THERE ARE SIGNS THEY MAY    
20110128010206.000|20110128010206.000|CC1|BE RIGHT.                       
20110128010206.000|20110128010208.000|CC1|THEY ARE INVESTIGATING TWO      
20110128010208.000|20110128010210.000|CC1|NEW CASES.                      
20110128010210.000|20110128010212.000|CC1|>> STRONG SIMILARITIES, THE     
20110128010212.000|20110128010213.000|CC1|SAME TYPE OF CRIMES, THE        
20110128010213.000|20110128010215.000|CC1|SAME AREA.                      
20110128010215.000|20110128010218.000|CC1|THE SAME AGE, RANGE FEMALES     
20110128010218.000|20110128010222.000|CC1|AND JUST, HAS A LOT OF          
20110128010222.000|20110128010223.000|CC1|SIMILARITIES.                   
20110128010223.000|20110128010225.000|CC1|BUT YET, YOU KNOW WE HAVE TO    
20110128010225.000|20110128010227.000|CC1|KEEP IN MIND THAT WE HAVE       
20110128010227.000|20110128010229.000|CC1|NOTE PROVEN ANYTHING TO         
20110128010229.000|20110128010231.000|CC1|CONNECTION TO MR. FRANKLIN.     
20110128010231.000|20110128010234.000|CC1|MICHELLE: THIS DEVELOPMENT      
20110128010234.000|20110128010235.000|CC1|COMES AS THEY PROCESS           
20110128010235.000|20110128010236.000|CC1|EVIDENCE FROM HIS HOME AND      
20110128010236.000|20110128010238.000|CC1|TRACE HIS ACTIVITIES OVER       
20110128010238.000|20110128010240.000|CC1|TWO DECADES, A CHILLING         
20110128010240.000|20110128010242.000|CC1|DISCOVERY 180 PHOTOS OF         
20110128010242.000|20110128010244.000|CC1|UNKNOWN WOMEN, HE GOT THE       
20110128010244.000|20110128010245.000|CC1|NAME "GRIM SLEEPER" BECAUSE     
20110128010245.000|20110128010247.000|CC1|OF THE 14 YEARS HE APPEARED     
20110128010247.000|20110128010249.000|CC1|TO BE KNOW ACTIVE.              
20110128010249.000|20110128010254.000|CC1|THE TWO NEW CASES ARE WITHIN    
20110128010254.000|20110128010255.000|CC1|THAT DORMAN AREA.               
20110128010255.000|20110128010256.000|CC1|>> THEY ARE IN THE SAME         
20110128010256.000|20110128010259.000|CC1|AREA, THE SAME GENERAL          
20110128010259.000|20110128010300.000|CC1|CIRCUMSTANCES.                  
20110128010300.000|20110128010301.000|CC1|>> Reporter: THE NEW VICTIMS    
20110128010301.000|20110128010303.000|CC1|WERE NOT AMONG THE PHOTOS       
20110128010303.000|20110128010305.000|CC1|THEY WERE IDENTIFIED WITH A     
20110128010305.000|20110128010308.000|CC1|PILE OF 30-PLUS UNSOLVED        
20110128010308.000|20110128010309.000|CC1|MURDERS, THERE ARE SEVERAL      
20110128010309.000|20110128010310.000|CC1|REASONS THE NEW CASES WERE      
20110128010310.000|20110128010312.000|CC1|NOT LINKED EARLIER, THEY        
20110128010312.000|20110128010313.000|CC1|HAPPENED WHEN THERE WERE AS     
20110128010313.000|20110128010315.000|CC1|MANY AS 1100 HOMICIDES A        
20110128010315.000|20110128010317.000|CC1|YEAR IN LOS ANGELES.            
20110128010317.000|20110128010318.000|CC1|AND THERE WAS A MORE            
20110128010318.000|20110128010321.000|CC1|EMPHASIS ON EMERGING DNA        
20110128010321.000|20110128010323.000|CC1|TECHNOLOGY TO CATCH THE         
20110128010323.000|20110128010324.000|CC1|KILLERS, IN THE CASES, IT       
20110128010324.000|20110128010326.000|CC1|WAS THE BALLISTIC THAT          
20110128010326.000|20110128010328.000|CC1|MATTERED, AS INVESTIGATION      
20110128010328.000|20110128010329.000|CC1|PROCEED, INVESTIGATORS WANT     
20110128010329.000|20110128010331.000|CC1|TO KNOW WHO THE WOMEN ARE,      
20110128010331.000|20110128010333.000|CC1|72 HAVE BEEN IDENTIFIED.        
20110128010333.000|20110128010335.000|CC1|62 ARE UNKNOWN.                 
20110128010335.000|20110128010337.000|CC1|>> ANYBODY THAT HAS ANY         
20110128010337.000|20110128010339.000|CC1|INFORMATION ABOUT               
20110128010339.000|20110128010340.000|CC1|MR. FRANKLIN AND OR ANY OF      
20110128010340.000|20110128010342.000|CC1|THE REMAINING 62                
20110128010342.000|20110128010343.000|CC1|PHOTOGRAPHS, WE CERTAINLY       
20110128010343.000|20110128010344.000|CC1|WOULD LIKE TO HEAR FROM         
20110128010344.000|20110128010345.000|CC1|THEM.                           
20110128010345.000|20110128010346.000|CC1|>> Reporter: L.A.P.D.           
20110128010346.000|20110128010347.000|CC1|ACKNOWLEDGES THAT THERE MAY     
20110128010347.000|20110128010349.000|CC1|BE SOME PERSONAL REASONS        
20110128010349.000|20110128010350.000|CC1|THAT WOMEN HAVE NOT COME        
20110128010350.000|20110128010351.000|CC1|FORWARD TO IDENTIFY THEIR       
20110128010351.000|20110128010354.000|CC1|PHOTOS, THEY ASSURE THEM        
20110128010354.000|20110128010356.000|CC1|THEIR PRIVACY WILL BE           
20110128010356.000|20110128010357.000|CC1|RESPECTED, THEY WANT TO KNOW    
20110128010357.000|20110128010358.000|CC1|THAT YOU ARE ALIVE.             
20110128010358.000|20110128010401.000|CC1|MIRIAM HERNANDEZ, "ABC7         
20110128010401.000|20110128010402.000|CC1|EYEWITNESS NEWS."               
20110128010402.000|20110128010403.000|CC1|MICHELLE: THANK YOU.            
20110128010403.000|20110128010404.000|CC1|THERE HAS BEEN ANOTHER          
20110128010404.000|20110128010406.000|CC1|SCHOOL SHOOTING NEAR A          
20110128010406.000|20110128010407.000|CC1|SCHOOL IN SOUTHERN              
20110128010407.000|20110128010408.000|CC1|CALIFORNIA, RIGHT NOW           
20110128010408.000|20110128010409.000|CC1|AUTHORITIES ARE SEARCHING       
20110128010409.000|20110128010411.000|CC1|FOR A GUNMAN WHO SHOT A TEEN    
20110128010411.000|20110128010412.000|CC1|NEAR PHILADELPHIA ELEMENTARY    
20110128010412.000|20110128010415.000|CC1|IN POMONA, A 15-YEAR-OLD OF     
20110128010415.000|20110128010417.000|CC1|HIT IN THE LEG, THE TEEN HAS    
20110128010417.000|20110128010419.000|CC1|NO CONNECTION TO THE SCHOOL     
20110128010419.000|20110128010421.000|CC1|AND TO MAKE A FULL              
20110128010421.000|20110128010422.000|CC1|RECOVERY.                       
