TOP|20110128023001|2011-01-28_0230_US_KABC_World_News_With_Diane_Sawyer
COL|Communication Studies Archive, UCLA 
UID|ad75c6c0-2a8a-11e0-b812-001517add6fa
DUR|0:29:44.58
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-27 18:30 America/Los_Angeles
SEG_01|2014-06-18 19:05:35|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110128023005.000|20110128023005.000|XDS|%  NETWORK: ABC
20110128023005.000|20110128023005.000|XDS|%   RATING: (NOT RATED) (72)
20110128023006.000|20110128023006.000|XDS|%     CALL:   
20110128023006.000|20110128023006.000|XDS|% TIMECODE: 1/27 20:30
20110128023006.000|20110128023006.000|XDS|%   LENGTH: 0:56:00 of 1:30:00
20110128023008.000|20110128023021.000|SEG|Type=Story
20110128023008.000|20110128023010.000|CC1|>>> TONIGHT ON,"T               
20110128023010.000|20110128023010.000|CC1|                                
20110128023011.000|20110128023011.000|XDS|%   LENGTH: 0:57:00 of 1:30:00
20110128023010.000|20110128023012.000|CC1|IS SNOWMAGEDDON AGAIN.          
20110128023012.000|20110128023014.000|CC1|THE NORTHEAST WALLOPED BY       
20110128023014.000|20110128023015.000|CC1|ANOTHER RECORD-SETTING THUNDER  
20110128023015.000|20110128023017.000|CC1|SNOW.                           
20110128023017.000|20110128023017.000|CC1|A SUPER HIGHWAY OF MORE STORMS  
20110128023017.000|20110128023018.000|CC1|ON THE WAY?                     
20110128023018.000|20110128023019.000|CC1|IS THIS THE NEW VERSION OF      
20110128023019.000|20110128023021.000|CC1|HURRICANE SEASON?               
20110128023021.000|20110128023036.000|SEG|Type=Story
20110128023021.000|20110128023022.000|CC1|>>> GETS ANSWERS.               
20110128023022.000|20110128023024.000|CC1|AN ABC NEWS INVESTIGATION.      
20110128023024.000|20110128023027.000|CC1|MORE THAN 1,000 WOMEN SAY THEY  
20110128023027.000|20110128023028.000|CC1|ENDURED SEXUAL ABUSE IN THE     
20110128023028.000|20110128023029.000|CC1|PEACE CORPS.                    
20110128023029.000|20110128023030.000|CC1|AND NOW CONGRESS IS TAKING      
20110128023030.000|20110128023036.000|CC1|ACTION.                         
20110128023036.000|20110128023043.000|SEG|Type=Story
20110128023036.000|20110128023037.000|CC1|>>> LIFE SAVER.                 
20110128023037.000|20110128023038.000|CC1|THE NEW DASHBOARD TECHNOLOGY    
20110128023038.000|20110128023039.000|CC1|THAT KNOWS YOU'VE BEEN DRINKING 
20110128023039.000|20110128023040.000|CC1|THE MOMENT YOU SIT IN YOUR SEAT 
20110128023040.000|20110128023041.000|CC1|AND WILL NOT LET YOU DRIVE.     
20110128023041.000|20110128023042.000|CC1|COULD THIS END DRUNK DRIVING FOR
20110128023042.000|20110128023043.000|CC1|GOOD?                           
20110128023043.000|20110128023103.000|SEG|Type=Story
20110128023043.000|20110128023045.000|CC1|>>> A DAY IN THE LIFE.          
20110128023045.000|20110128023047.000|CC1|A 24-HOUR QUEST TO LEARN WHAT WE
20110128023047.000|20110128023048.000|CC1|ALL FEAR, WHAT WE ALL LOVE THE  
20110128023048.000|20110128023051.000|CC1|MOST.                           
20110128023051.000|20110128023052.000|CC1|AROUND THE GLOBE ON ONE DAY ON  
20110128023052.000|20110128023103.000|CC1|EARTH.                          
20110128023103.000|20110128023737.000|SEG|Type=Story
20110128023103.000|20110128023104.000|CC1|>>> AND GOOD EVENING TO ALL OF  
20110128023104.000|20110128023106.000|CC1|YOU.                            
20110128023106.000|20110128023107.000|CC1|THERE WAS THUNDER HERE, THERE   
20110128023107.000|20110128023109.000|CC1|WERE ROARING WINDS AND AN       
20110128023109.000|20110128023112.000|CC1|86-YEAR-OLD RECORD TOPPLED.     
20110128023112.000|20110128023114.000|CC1|19 INCHES OF SNOW DUMPED RIGHT  
20110128023114.000|20110128023114.000|XDS|%   LENGTH: 0:58:00 of 1:30:00
20110128023114.000|20110128023117.000|CC1|HERE IN CENTRAL PARK, NEW YORK. 
20110128023117.000|20110128023118.000|CC1|IN FACT, TONIGHT IS THE SNOWIEST
20110128023118.000|20110128023119.000|CC1|JANUARY IN NEW YORK HISTORY.    
20110128023119.000|20110128023120.000|CC1|THE STORM PARALYZED CITIES      
20110128023120.000|20110128023121.000|CC1|ACROSS THE EAST COAST, FROM     
20110128023121.000|20110128023123.000|CC1|VIRGINIA TO MAINE, BRINGING     
20110128023123.000|20110128023125.000|CC1|TRAINS, PLANES AND AUTOMOBILES  
20110128023125.000|20110128023127.000|CC1|GRINDING TO A HALT.             
20110128023127.000|20110128023129.000|CC1|IN WASHINGTON, D.C., A 45-MINUTE
20110128023129.000|20110128023129.000|CC1|COMMUTE TURNED INTO A TEN-HOUR  
20110128023129.000|20110128023131.000|CC1|TRAVEL FIASCO.                  
20110128023131.000|20110128023132.000|CC1|DRIVERS JUST ABANDONED THEIR    
20110128023132.000|20110128023134.000|CC1|CARS.                           
20110128023134.000|20110128023136.000|CC1|AS ONE COMMUTER PUT IT, THE     
20110128023136.000|20110128023139.000|CC1|ROADS ARE NOW A BUMPER CAR      
20110128023139.000|20110128023139.000|CC1|GRAVEYARD.                      
20110128023139.000|20110128023142.000|CC1|AND SHARYN ALFONSI IS HERE WITH 
20110128023142.000|20110128023143.000|CC1|US NOW.                         
20110128023143.000|20110128023145.000|CC1|SHE'S BEEN TRACKING THE RETURN  
20110128023145.000|20110128023147.000|CC1|TO SNOWMAGEDDON.                
20110128023147.000|20110128023148.000|CC1|>> Reporter: THIS IS THE FIFTH  
20110128023148.000|20110128023149.000|CC1|MAJOR SNOWSTORM THIS WINTER.    
20110128023149.000|20110128023150.000|CC1|ACROSS THE NORTHEAST, YOU CAN   
20110128023150.000|20110128023150.000|CC1|HEAR A COLLECTIVE "ENOUGH       
20110128023150.000|20110128023153.000|CC1|ALREADY."                       
20110128023153.000|20110128023153.000|CC1|HOBOKEN, NEW JERSEY, YESTERDAY  
20110128023153.000|20110128023154.000|CC1|AND TODAY.                      
20110128023154.000|20110128023156.000|CC1|SNOW ON TOP OF SNOW.            
20110128023156.000|20110128023159.000|CC1|WEIGHING HEAVY ON TREES AND THE 
20110128023159.000|20110128023200.000|CC1|MILLIONS LEFT DIGGING OUT,      
20110128023200.000|20110128023200.000|CC1|AGAIN.                          
20110128023200.000|20110128023202.000|CC1|>> EVERYBODY IS TIRED.          
20110128023202.000|20110128023204.000|CC1|WE'RE EXHAUSTED.                
20110128023204.000|20110128023206.000|CC1|IT'S BEEN OUT OF CONTROL.       
20110128023206.000|20110128023207.000|CC1|>> Reporter: A STORM THE        
20110128023207.000|20110128023209.000|CC1|NORTHEAST FIRST HEARD.          
20110128023209.000|20110128023213.000|CC1|>> WOW!                         
20110128023213.000|20110128023214.000|CC1|THAT IS CRAZY.                  
20110128023214.000|20110128023216.000|CC1|>> Reporter: THEN SAW.          
20110128023216.000|20110128023219.000|CC1|ALTERING THE LANDSCAPE IN HOURS.
20110128023219.000|20110128023219.000|CC1|NEW YORK CITY.                  
20110128023220.000|20110128023220.000|XDS|%   LENGTH: 0:59:00 of 1:30:00
20110128023219.000|20110128023220.000|CC1|PHILADELPHIA.                   
20110128023220.000|20110128023223.000|CC1|BOSTON.                         
20110128023223.000|20110128023225.000|CC1|AND WHILE SOME PLACES NOW LOOK  
20110128023225.000|20110128023227.000|CC1|LIKE A STORY BOOK, THIS STORM   
20110128023227.000|20110128023229.000|CC1|MADE IT ONE FOR THE RECORD      
20110128023229.000|20110128023231.000|CC1|BOOKS.                          
20110128023231.000|20110128023231.000|CC1|PHILADELPHIA NORMALLY GETS      
20110128023231.000|20110128023232.000|CC1|21 INCHES OF SNOW.              
20110128023232.000|20110128023235.000|CC1|SO FAR THIS SEASON, 38.         
20110128023235.000|20110128023238.000|CC1|SO MUCH SNOW, YOU NEEDED SKIS TO
20110128023238.000|20110128023238.000|CC1|NEGOTIATE THE SUBWAY STAIRS     
20110128023238.000|20110128023239.000|CC1|TODAY.                          
20110128023239.000|20110128023240.000|CC1|BOSTON'S AVERAGE SNOWFALL,      
20110128023240.000|20110128023241.000|CC1|41 INCHES.                      
20110128023241.000|20110128023244.000|CC1|THIS SEASON, 60.                
20110128023244.000|20110128023245.000|CC1|DWARFING THOSE TRYING TO DIG    
20110128023245.000|20110128023246.000|CC1|OUT.                            
20110128023246.000|20110128023249.000|CC1|NEW YORK CITY SLAMMED, TOO.     
20110128023249.000|20110128023251.000|CC1|56 INCHES OF SNOW SO FAR.       
20110128023251.000|20110128023252.000|CC1|THE CITY THAT NEVER SLEEPS,     
20110128023252.000|20110128023256.000|CC1|TODAY, STALLED.                 
20110128023256.000|20110128023257.000|CC1|>> IT'S TAKEN ME ABOUT A HALF AN
20110128023257.000|20110128023259.000|CC1|HOUR JUST TO GET SIX BLOCKS.    
