TOP|20110128030001|2011-01-28_0300_US_KNBC_EXTRA
COL|Communication Studies Archive, UCLA 
UID|dec7415a-2a8e-11e0-b4ba-001517add720
DUR|0:29:48.72
VID|640x368
CMT|
LAN|ENG
LBT|2011-01-27 19:00 America/Los_Angeles
SEG_01|2014-06-18 19:05:38|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110128030002.000|20110128030002.000|XDS|%   RATING: (NOT RATED) (72)
20110128030005.000|20110128030005.000|XDS|%    TITLE: Extra
20110128030006.000|20110128032949.000|SEG|Type=Story
20110128030006.000|20110128030008.000|CC1|>> HEY, I AM MARIO LOPEZ.       
20110128030009.000|20110128030009.000|XDS|%     DESC: EPISODIC PROMOS
20110128030008.000|20110128030010.000|CC1|NEW DETAILS ON CHARLIE SHEEN    
20110128030010.000|20110128030011.000|CC1|RUSHED BY AMBULANCE TO THE      
20110128030011.000|20110128030016.000|CC1|E.R.                            
20110128030016.000|20110128030017.000|CC1|[CAPTIONING MADE POSSIBLE BY    
20110128030017.000|20110128030018.000|CC1|WARNER BROS. DOMESTIC           
20110128030018.000|20110128030024.000|CC1|TELEVISION DISTRIBUTION]        
20110128030024.000|20110128030027.000|CC1|>> CHARLIE'S FIRST WORDS, I'M   
20110128030027.000|20110128030029.000|CC1|NOT DYING.                      
20110128030029.000|20110128030033.000|CC1|HE TELLS OUR SOURCE EXACTLY WHY 
20110128030033.000|20110128030033.000|CC1|HE CALLED 911.                  
20110128030033.000|20110128030036.000|CC1|>> THE LATEST ON HIS HEALTH     
20110128030036.000|20110128030037.000|CC1|CRITICIZE AFTER A WILD          
20110128030037.000|20110128030041.000|CC1|ALL-NIGHT PARTY.                
20110128030041.000|20110128030042.000|CC1|JOHN TRAVOLTA, THE NEW          
20110128030042.000|20110128030043.000|CC1|GODFATHER?                      
20110128030043.000|20110128030044.000|CC1|NEW VIDEO FROM HIS DINNER WITH  
20110128030044.000|20110128030045.000|CC1|JOHN GOTTI, JR.                 
20110128030045.000|20110128030046.000|CC1|TRAVOLTA SET TO PLAY THE TEFLON 
20110128030046.000|20110128030047.000|CC1|DON, JAMES FRANCO HIS SON?      
20110128030047.000|20110128030048.000|CC1|PRESIDENT OBAMA TRAPPED IN THE  
20110128030048.000|20110128030049.000|CC1|SNOW.                           
20110128030049.000|20110128030050.000|CC1|KATIE COURIC PUSHING A MASERATI 
20110128030050.000|20110128030052.000|CC1|IN CENTRAL PARK.                
20110128030052.000|20110128030057.000|CC1|THE EAST COAST BURIED IN A      
20110128030057.000|20110128030058.000|CC1|BLIZZARD.                       
20110128030058.000|20110128030059.000|CC1|>> THERE WERE BEAUTIFUL SNOW    
20110128030059.000|20110128030100.000|CC1|SCULPTURES OUT THERE.           
20110128030100.000|20110128030102.000|CC1|IT WAS THE AUDIENCE.            
20110128030102.000|20110128030104.000|CC1|>> THE WEATHER DID NOT STOP     
20110128030104.000|20110128030108.000|CC1|WENDY WILLIAMS.                 
20110128030108.000|20110128030109.000|CC1|>> JULIA'S GOTCHA SURPRISE FOR  
20110128030109.000|20110128030110.000|CC1|ELLEN.                          
20110128030110.000|20110128030111.000|CC1|>> WOW!                         
20110128030111.000|20110128030112.000|CC1|>> WHAT JULIA CONFESSED ABOUT   
20110128030112.000|20110128030113.000|CC1|THE REAL "BEVERLY HILLS         
20110128030113.000|20110128030114.000|CC1|HOUSEWIVES.                     
20110128030114.000|20110128030115.000|CC1|PLUS, KELSEY GRAMMER'S          
20110128030115.000|20110128030116.000|CC1|TELL-ALL.                       
20110128030116.000|20110128030117.000|CC1|WILL HE GIVE IN TO CAMILLE'S    
20110128030117.000|20110128030118.000|CC1|$10 MILLION DEMANDS?            
20110128030118.000|20110128030120.000|CC1|PLUS, "AMERICAN IDOL" TURNS     
