TOP|20110128190001|2011-01-28_1900_US_KNBC_Channel_4_News_Mid_Day_Report
COL|Communication Studies Archive, UCLA 
UID|2bda6c58-2b19-11e0-a62d-001517add720
DUR|0:59:49.68
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-28 11:00 America/Los_Angeles
SEG_01|2014-06-18 19:06:32|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110128190007.000|20110128190007.000|XDS|%   RATING: (NOT RATED) (72)
20110128190008.000|20110128190008.000|XDS|%    TITLE: ACCESS HOLLYWOOD LIVE
20110128190013.000|20110128195950.000|SEG|Type=Story
20110128190013.000|20110128190014.000|CC1|>>  HERE WE GO.                 
20110128190014.000|20110128190017.000|CC1|>>  STAND BY, BILLY AND KIT.    
20110128190017.000|20110128190019.000|CC1|>> WE'RE LIVE IN FIVE, FOUR,    
20110128190019.000|20110128190020.000|CC1|THREE, TWO, ONE!                
20110128190020.000|20110128190021.000|CC1|>>  TODAY TO "ACCESS HOLLYWOOD  
20110128190021.000|20110128190027.000|CC1|LIVE" --                        
20110128190028.000|20110128190028.000|XDS|%     DESC: What Happens in Vegas is Disgust
20110128190027.000|20110128190028.000|CC1|911 EMERGENCY, WE COULD SEE THIS
20110128190028.000|20110128190029.000|CC1|COMING.                         
20110128190029.000|20110128190031.000|CC1|WILL IT CHANGE ANYTHING AT ALL? 
20110128190031.000|20110128190034.000|CC1|>>  BILLY, WE'LL UNCOVER TOUCHY 
20110128190034.000|20110128190037.000|CC1|NEW FOOTAGE OF THE "IDOL" LOVE  
20110128190037.000|20110128190038.000|CC1|STORY THAT STOLE AMERICA'S      
20110128190038.000|20110128190038.000|CC1|HEART.                          
20110128190038.000|20110128190041.000|CC1|>> SURE, IT'S NATALIE'S NUMBER  
20110128190041.000|20110128190044.000|CC1|ONE FILM BUT THE MOMENTS MAKE IT
20110128190044.000|20110128190045.000|CC1|PASSIONATE.                     
20110128190045.000|20110128190045.000|CC1|SHE'S HERE LIVE.                
20110128190045.000|20110128190048.000|CC1|>>  HER OSCAR-WINNING "MISERY"  
20110128190048.000|20110128190049.000|CC1|ROLE SCARED US SILLY.           
20110128190049.000|20110128190051.000|CC1|>> THE TALENTED KATHY BATES IS  
20110128190051.000|20110128190053.000|CC1|HERE WITH HER NEW SHOW.         
20110128190053.000|20110128190056.000|CC1|>>  AND HOLLYWOOD GREEN TEA     
20110128190056.000|20110128190056.000|CC1|CRAZE.                          
20110128190056.000|20110128190108.000|CC1|WHY YOU CAN COOK WITH IT.       
20110128190108.000|20110128190112.000|CC1|>>  [SPEAKING SPANISH]          
20110128190112.000|20110128190118.000|CC1|100 EPISODES!                   
20110128190118.000|20110128190121.000|CC1|>>  COME ON!                    
20110128190121.000|20110128190122.000|CC1|>>  THIS IS CRAZY.              
20110128190122.000|20110128190123.000|CC1|>> WE MADE 100 SHOWS.           
20110128190123.000|20110128190125.000|CC1|WE MADE IT THREE MONTHS, WE'RE  
20110128190125.000|20110128190127.000|CC1|ALL GOING CRAZY.                
20110128190127.000|20110128190128.000|CC1|>> I MADE IT 100 SHOWS.         
20110128190128.000|20110128190130.000|CC1|YOU MADE IT 96.                 
20110128190130.000|20110128190131.000|CC1|YOU TOOK A LITTLE VACAY.        
20110128190131.000|20110128190133.000|CC1|HAPPY 96TH, BILLY BUSH.         
20110128190133.000|20110128190137.000|CC1|OK, SO WE MADE IT 100 SHOWS SO  
20110128190137.000|20110128190138.000|CC1|FAR ON "ACCESS HOLLYWOOD LIVE." 
20110128190138.000|20110128190138.000|CC1|AND HERE'S THE GREATEST         
20110128190138.000|20110128190140.000|CC1|ACHIEVEMENT.                    
20110128190140.000|20110128190142.000|CC1|NOBODY THOUGHT WE'D MAKE IT 10. 
20110128190142.000|20110128190143.000|CC1|>>  A WEEK.                     
20110128190143.000|20110128190144.000|CC1|>> HERE WE ARE, WE'RE STILL     
20110128190144.000|20110128190145.000|CC1|TRUCKING.                       
20110128190145.000|20110128190146.000|CC1|SO IT'S VERY EXCITING.          
20110128190146.000|20110128190147.000|CC1|WELCOME TO "ACCESS HOLLYWOOD    
20110128190147.000|20110128190147.000|CC1|LIVE."                          
20110128190147.000|20110128190149.000|CC1|>>  BEFORE I GET TO THE BIG     
20110128190149.000|20110128190150.000|CC1|CELEBRATION, LET'S START WITH   
20110128190150.000|20110128190151.000|CC1|THE BIG NEWS, NOT CHARLIE SHEEN 
20110128190151.000|20110128190152.000|CC1|JUST YET.                       
20110128190152.000|20110128190153.000|CC1|WE'LL GET TO HIM A LITTLE LATER 
20110128190153.000|20110128190153.000|CC1|ON.                             
20110128190153.000|20110128190155.000|CC1|>>  THAT'S ACTUALLY OLD NEWS BUT
20110128190155.000|20110128190157.000|CC1|WE HAVE SOME NEW DETAILS ON IT. 
20110128190157.000|20110128190158.000|CC1|WE'RE MAKING PHONE CALLS AND    
20110128190158.000|20110128190159.000|CC1|GIVE YOU UPDATES ON THAT.       
20110128190159.000|20110128190201.000|CC1|TODAY'S BIG NEWS KICKS OFF WITH 
20110128190201.000|20110128190202.000|CC1|LAST NIGHT'S OPEN HEART "IDOL." 
20110128190202.000|20110128190204.000|CC1|>> ANOTHER TEAR JERKER.         
20110128190204.000|20110128190206.000|CC1|>>  THIS STORY MADE ME AND MY   
