TOP|20110129000001|2011-01-29_0000_US_KCAL_KCAL_9_News_at_4PM
COL|Communication Studies Archive, UCLA 
UID|e454fddc-2b3e-11e0-9406-001517add720
DUR|0:29:49.25
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-28 16:00 America/Los_Angeles
SEG_01|2014-06-18 19:06:50|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110129000004.000|20110129000004.000|XDS|%    TITLE: QPRG0198
20110129000005.000|20110129002950.000|SEG|Type=Story
20110129000005.000|20110129000006.000|CC1|>> GOOD AFTERNOON I'M SYLVIA    
20110129000006.000|20110129000007.000|CC1|LOPEZ.                          
20110129000007.000|20110129000008.000|CC1|LEYNA: I'M LEYNA NGUYEN.        
20110129000008.000|20110129000010.000|CC1|WE BEGIN WITH BREAKING NEWS     
20110129000010.000|20110129000011.000|CC1|ON ACTOR CHARLIE SHEEN.         
20110129000011.000|20110129000013.000|CC1|SHEEN CHECKED HIMSELF INTO A    
20110129000013.000|20110129000015.000|CC1|REHAB FACILITY AND HIS          
20110129000015.000|20110129000016.000|CC1|SITCOM HAS BEEN PUT ON HOLD.    
20110129000016.000|20110129000017.000|CC1|SANDRA MITCHELL IS LIVE FROM    
20110129000017.000|20110129000019.000|CC1|THE NEWSROOM WITH THE LATEST    
20110129000019.000|20110129000020.000|CC1|DEVELOPMENTS.                   
20110129000020.000|20110129000020.000|CC1|SANDRA.                         
20110129000020.000|20110129000021.000|CC1|>> OUT OF THE HOSPITAL AND      
20110129000021.000|20110129000022.000|CC1|NOW GETTING HELP.               
20110129000022.000|20110129000024.000|CC1|A PRESS RELEASE WAS ISSUED A    
20110129000024.000|20110129000025.000|CC1|SHORT TIME AGO SAYING THAT      
20110129000025.000|20110129000027.000|CC1|THE 45-YEAR-OLD ACTOR           
20110129000027.000|20110129000029.000|CC1|VOLUNTARILY AND ENTERED A       
20110129000029.000|20110129000030.000|CC1|REHAB CENTER TODAY.             
20110129000030.000|20110129000032.000|CC1|SHEEN WAS RUSHED TO             
20110129000032.000|20110129000032.000|CC1|CEDARS-SINAI YESTERDAY          
20110129000032.000|20110129000033.000|CC1|MORNING.                        
20110129000033.000|20110129000035.000|CC1|HE REPORTEDLY WAS SUFFERING     
20110129000035.000|20110129000036.000|CC1|FROM ABDOMINAL PAIN.            
20110129000036.000|20110129000039.000|CC1|A WOMAN INSIDE HIS SHERMAN      
20110129000039.000|20110129000040.000|CC1|OAKS HOUSE CALLED 911.          
20110129000040.000|20110129000042.000|CC1|NEIGHBORS DID REPORT HEARING    
20110129000042.000|20110129000044.000|CC1|A LOUD PARTY AT SHEEN'S         
20110129000044.000|20110129000045.000|CC1|HOUSE.                          
20110129000045.000|20110129000046.000|CC1|THERE ARE REPORTS THAT HE       
20110129000046.000|20110129000047.000|CC1|WAS WITH A GROUP OF ADULT       
20110129000047.000|20110129000048.000|CC1|FILM ACTRESSES AND EARLIER      
20110129000048.000|20110129000050.000|CC1|TODAY SHEEN'S PUBLICIST SAID    
20110129000050.000|20110129000051.000|CC1|THAT THE ACTOR WOULD BE         
20110129000051.000|20110129000053.000|CC1|RETURNING TO THE SET OF HIS     
20110129000053.000|20110129000054.000|CC1|HIT TV SHOW "TWO AND A HALF     
20110129000054.000|20110129000057.000|CC1|MEN" NEXT TUESDAY AND CBS       
20110129000057.000|20110129000058.000|CC1|WARNER BROTHERS, AND            
20110129000058.000|20110129000100.000|CC1|EXECUTIVE PRODUCER CHUCK        
20110129000100.000|20110129000102.000|CC1|LORI PUT OUT THE STATEMENT      
20110129000102.000|20110129000120.000|CC1|SAYING DUO OWE                  
20110129000120.000|20110129000121.000|CC1|THAT STATEMENT WAS JUST         
20110129000121.000|20110129000122.000|CC1|RELEASED.                       
20110129000122.000|20110129000124.000|CC1|WE DO NOT HAVE A WORD ON        
20110129000124.000|20110129000126.000|CC1|WHICH REHAB FACILITY SHEEN      
20110129000126.000|20110129000126.000|CC1|HAS CHECKED INTO.               
20110129000126.000|20110129000128.000|CC1|WE WILL CONTINUE TO FOLLOW      
20110129000128.000|20110129000129.000|CC1|THIS BREAKING NEWS STORY AND    
20110129000129.000|20110129000130.000|CC1|BRING YOU NEW DEVELOPMENTS      
20110129000130.000|20110129000131.000|CC1|WHEN WE GET THEM.               
20110129000131.000|20110129000132.000|CC1|FOR NOW LIVE FROM THE           
20110129000132.000|20110129000133.000|CC1|NEWSROOM SANDRA MITCHELL        
20110129000133.000|20110129000136.000|CC1|BACK TO YOU SYLVIA.             
20110129000136.000|20110129000136.000|CC1|SYLVIA: THANK YOU.              
20110129000136.000|20110129000139.000|CC1|BREAKING NEWS RIGHT NOW IN      
20110129000139.000|20110129000140.000|CC1|STANTON THE BODIES OF A MAN     
20110129000140.000|20110129000143.000|CC1|AND A WOMAN HAVE BEEN FOUND     
20110129000143.000|20110129000144.000|CC1|DEAD UNDER SUSPICIOUS           
20110129000144.000|20110129000147.000|CC1|CIRCUMSTANCES IN A MOTEL 6      
20110129000147.000|20110129000148.000|CC1|ON KATELLA AVENUE.              
20110129000148.000|20110129000150.000|CC1|THE WOMAN'S BODY WAS FOUND      
20110129000150.000|20110129000152.000|CC1|IN AN SUV AND THE MAN'S BODY    
20110129000152.000|20110129000154.000|CC1|WAS FOUND IN A MOTEL ROOM.      
20110129000154.000|20110129000156.000|CC1|RIGHT NOW JOINING US LIVE ON    
20110129000156.000|20110129000159.000|CC1|THE PHONE WITH INFORMATION      
20110129000159.000|20110129000201.000|CC1|JIM FROM THE ORANGE COUNTY      
20110129000201.000|20110129000201.000|CC1|SHERIFF'S OFFICE.               
20110129000201.000|20110129000203.000|CC1|TELL US WHAT MORE YOU CAN       
20110129000203.000|20110129000204.000|CC1|ABOUT THE SITUATION.            
20110129000204.000|20110129000205.000|CC1|TWO BODIES FOUND.               
20110129000205.000|20110129000206.000|CC1|>> THE SHERIFF'S DEPARTMENT     
20110129000206.000|20110129000208.000|CC1|RECEIVED A RADIO CALL FROM A    
20110129000208.000|20110129000211.000|CC1|MOTEL MANAGER THAT A MAN WAS    
20110129000211.000|20110129000213.000|CC1|ACTING SUSPICIOUSLY IN A        
20110129000213.000|20110129000215.000|CC1|HOTEL ROOM AND EARLIER THAT     
20110129000215.000|20110129000218.000|CC1|HE LEFT A LARGE BLACK SUV       
20110129000218.000|20110129000221.000|CC1|AND WENT TO THE MOTEL ROOM.     
