TOP|20110129050001|2011-01-29_0500_US_KNBC_Dateline_NBC
COL|Communication Studies Archive, UCLA 
UID|fd5fffd8-2b6c-11e0-9a7c-001517add6fa
DUR|0:59:49.81
VID|640x368
CMT|
LAN|ENG
LBT|2011-01-28 21:00 America/Los_Angeles
SEG_01|2014-06-18 19:07:18|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110129050002.000|20110129050002.000|XDS|%   RATING: (NOT RATED) (72)
20110129050002.000|20110129050002.000|XDS|%    TITLE: MINUTE TO WIN IT
20110129050016.000|20110129050124.000|SEG|Type=Story
20110129050016.000|20110129050020.000|CC1|>>> A LOVING FAMILY, A FRIENDLY 
20110129050020.000|20110129050020.000|CC1|TOWN.                           
20110129050020.000|20110129050021.000|CC1|>> IT WAS ONE OF THOSE PLACES   
20110129050021.000|20110129050022.000|CC1|PEOPLE WENT TO GET AWAY FROM    
20110129050022.000|20110129050023.000|CC1|THINGS.                         
20110129050023.000|20110129050024.000|CC1|>> BUT THERE WAS NO GETTING AWAY
20110129050024.000|20110129050025.000|CC1|FROM THIS.                      
20110129050025.000|20110129050027.000|CC1|EVEN FROM OUTSIDE, IT WAS CLEAR 
20110129050027.000|20110129050031.000|CC1|SOMETHING WAS WRONG.            
20110129050031.000|20110129050033.000|CC1|>> THERE WAS BLOOD ON THE       
20110129050033.000|20110129050033.000|CC1|GROUND.                         
20110129050033.000|20110129050035.000|CC1|>> INSIDE, A NIGHTMARE.         
20110129050035.000|20110129050036.000|CC1|>> SOMEBODY KILLED THEM.        
20110129050036.000|20110129050037.000|CC1|SOMEBODY HURT THEM.             
20110129050037.000|20110129050038.000|CC1|THEY'RE NOT -- THEY'RE NOT      
20110129050038.000|20110129050039.000|CC1|ALIVE.                          
20110129050039.000|20110129050042.000|CC1|>> A MOTHER AND FATHER DEAD.    
20110129050042.000|20110129050044.000|CC1|LEFT BEHIND, A FAMILY IN        
20110129050044.000|20110129050047.000|CC1|MOURNING AND LETTERS SCROLLED IN
20110129050047.000|20110129050047.000|CC1|BLOOD.                          
20110129050047.000|20110129050049.000|CC1|>> THERE WAS OBVIOUSLY SOME TYPE
