TOP|20110129070002|2011-01-29_0700_US_KABC_KABC_7_News_at_11PM
COL|Communication Studies Archive, UCLA 
UID|42ef7396-2b7a-11e0-bae6-001517add6fa
DUR|0:34:49.25
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-28 23:00 America/Los_Angeles
SEG_01|2014-02-03 01:07:40|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20110129070006.000|20110129073451.000|SEG|Type=Story
20110129070006.000|20110129070029.000|CC1|THE E.R. AND THEN REHAB.        
20110129070029.000|20110129070110.000|CC1|    N    HE    W                
20110129070110.000|20110129070112.000|CC1|>> CHAOS IN EGYPT, THE MOST     
20110129070112.000|20110129070115.000|CC1|WIDESPREAD DEMONSTRATIONS SO    
20110129070115.000|20110129070115.000|CC1|FAR.                            
20110129070115.000|20110129070118.000|CC1|EVEN MOORE BATTLES IN THE STREET
20110129070118.000|20110129070119.000|CC1|MAY BE IN STORE.                
20110129070119.000|20110129070121.000|CC1|>> THE PRESIDENT OF EGYPT HAS   
20110129070121.000|20110129070123.000|CC1|SPOKEN OUT TONIGHT AND SO HAS   
20110129070123.000|20110129070125.000|CC1|THE PRESIDENT OF THE UNITED     
20110129070125.000|20110129070126.000|CC1|STATES.                         
20110129070126.000|20110129070131.000|CC1|I'M MICHELLE TUZEE.             
20110129070131.000|20110129070134.000|CC1|MARC: HERE'S MORE.              
20110129070134.000|20110129070135.000|CC1|>> Reporter: EGYPT'S PRESIDENT  
20110129070135.000|20110129070139.000|CC1|IS PROMISING REFORMS AND HAS    
20110129070139.000|20110129070141.000|CC1|FIRED HIS CABNET, BUT HOSNI     
20110129070141.000|20110129070145.000|CC1|MUBARAK IS REFUSING TO STEP     
20110129070145.000|20110129070146.000|CC1|DOWN.                           
20110129070146.000|20110129070147.000|CC1|FOUR STRATEGY DAYS OF THE       
20110129070147.000|20110129070151.000|CC1|LARGEST PROTEST IN DECADES HAVE 
20110129070151.000|20110129070152.000|CC1|EXPLODED INTO INTO CHAOS.       
20110129070152.000|20110129070154.000|CC1|THE ANGER ON THE STREETS        
20110129070154.000|20110129070156.000|CC1|CONTINUES AFTER DAYS OF         
20110129070156.000|20110129070157.000|CC1|DEMONSTRATIONS.                 
20110129070157.000|20110129070158.000|CC1|THE HEART OF THE CITIES IN THE  
20110129070158.000|20110129070204.000|CC1|HANDS OF PROTESTORS, WHO TORCHED
20110129070204.000|20110129070205.000|CC1|POLICE VANS.                    
20110129070205.000|20110129070209.000|CC1|THE ARMY MOVED INTO CAIRO AND   
20110129070209.000|20110129070215.000|CC1|OTHER EGYPTIAN CITIES.          
20110129070215.000|20110129070217.000|CC1|DEMONSTRATORS HAVE BEEN USING   
20110129070217.000|20110129070218.000|CC1|FACEBOOK AND TWITTER TO ORGANIZE
20110129070218.000|20110129070222.000|CC1|THE MASSES.                     
20110129070222.000|20110129070226.000|CC1|THE GOVERNMENT SHUT DOWN ALL    
20110129070226.000|20110129070228.000|CC1|INTERNET AND CELL PHONE SERVICE,
20110129070228.000|20110129070230.000|CC1|WITH NO RESULT.                 
20110129070230.000|20110129070235.000|CC1|THE EMUBARAK HAS RULED THE      
20110129070235.000|20110129070238.000|CC1|COUNTRY WITH AN IRON FIST FOR   
20110129070238.000|20110129070239.000|CC1|THREE DECADE.                   
20110129070239.000|20110129070244.000|CC1|>> I HAVE ASKED THE PRESIDENT TO
20110129070244.000|20110129070248.000|CC1|ENTER HIS RESIGNATION,.         
20110129070248.000|20110129070250.000|CC1|>> PRESIDENT OBAMA STEPPED UP   
20110129070250.000|20110129070255.000|CC1|PRESSURE, YET VOWED TO SUPPORT A
20110129070255.000|20110129070256.000|CC1|STEADFAST BUT FLAWED ALLY.      
20110129070256.000|20110129070257.000|CC1|>> THE UNITED STATES WILL STAND 
20110129070257.000|20110129070300.000|CC1|UP FOR THE RIGHTS OF THE        
20110129070300.000|20110129070301.000|CC1|ESHIPPAN PEOPLE AND WORK WITH   
20110129070301.000|20110129070306.000|CC1|THEIR GOVERNMENT IN PURSUIT OF A
20110129070306.000|20110129070308.000|CC1|MORE JUST FUTURE.               
20110129070308.000|20110129070310.000|CC1|>> THERE'S AN ENORMOUS U.S.     
20110129070310.000|20110129070312.000|CC1|INTEREST AT STAKE.              
20110129070312.000|20110129070315.000|CC1|EGYPT IS OUR PARTNER IN THE WAR 
20110129070315.000|20110129070318.000|CC1|ON TERROR, AND THE SUEZ CANAL   
20110129070318.000|20110129070320.000|CC1|CARRIES MUCH OF THE WORLD'S OIL 
20110129070320.000|20110129070322.000|CC1|SUPPLY, AND THE THREAT OF A     
20110129070322.000|20110129070325.000|CC1|SHUTDOWN COULD SEE LOCAL GAS    
20110129070325.000|20110129070326.000|CC1|PRICES SKYROCKET.               
20110129070326.000|20110129070327.000|CC1|>> IT'S A SITUATION THAT WILL   
20110129070327.000|20110129070330.000|CC1|PREVAIL IF AND WHEN THE         
20110129070330.000|20110129070331.000|CC1|GOVERNMENT GIVES UP, WHO IS     
20110129070331.000|20110129070336.000|CC1|GOING TO MOVE IN AND SEEK       
20110129070336.000|20110129070345.000|CC1|CRUCIAL POWER.                  
20110129070345.000|20110129070349.000|CC1|>> A SPOKESPERSON SAYS          
20110129070349.000|20110129070351.000|CC1|CONTINGENCY PLANS HAVE BEEN MADE
20110129070351.000|20110129070357.000|CC1|FOR THE EVACUATION OF THE       
20110129070357.000|20110129070359.000|CC1|GOVERNMENT BUILDINGS.           
20110129070359.000|20110129070401.000|CC1|>> REACTION IN PASADENA WHERE   
