TOP|20110131010001|2011-01-31_0100_US_KMEX_Primer_Impacto_Fin_de_Semana
COL|Communication Studies Archive, UCLA 
UID|cb2b2476-2cdd-11e0-9ce4-001517add60e
DUR|0:59:49.85
VID|640x480
CMT|
LAN|SPA
LBT|2011-01-30 17:00 America/Los_Angeles
SEG_01|2014-02-14 18:23:42|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20110131010011.000|20110131015950.000|SEG|Type=Story
20110131010011.000|20110131010014.000|CC1|???                             
20110131010014.000|20110131010019.000|CC1|>> HOY EN PRIMER IMPACTO EXTRA: 
20110131010019.000|20110131010020.000|CC1|>> UNA NIÑA FUE DECAPITADA      
20110131010020.000|20110131010022.000|CC1|CAMINO A SU ESCUELA Y LAS       
20110131010022.000|20110131010023.000|CC1|AUTORIDADES TIENEN MÁS          
20110131010023.000|20110131010023.000|CC1|PREGUNTAS QUE RESPUESTAS.       
20110131010023.000|20110131010026.000|CC1|???                             
20110131010026.000|20110131010028.000|CC1|>> SON LAS IMPACTANTES IMÁGENES 
20110131010028.000|20110131010031.000|CC1|DE LA MACABRA EXPLOSIÓN QUE     
20110131010031.000|20110131010033.000|CC1|SACUDIÓ UN AEROPUERTO.          
20110131010033.000|20110131010035.000|CC1|>> SE DESPLOMÓ UN EDIFICIO EN   
20110131010035.000|20110131010037.000|CC1|CONSTRUCCIÓN Y LOS OBREROS      
20110131010037.000|20110131010038.000|CC1|FUERON SEPULTADOS VIVOS BAJO    
20110131010038.000|20110131010039.000|CC1|UNA BOMTAÑA DE ESCOMBROS.       
20110131010039.000|20110131010041.000|CC1|???                             
20110131010041.000|20110131010044.000|CC1|>> RESCATAN A DECENAS DE        
20110131010044.000|20110131010045.000|CC1|ADICTOS QUE VIVÍAN COMO         
20110131010045.000|20110131010046.000|CC1|ANIMALES EN UN CENTRO DE        
20110131010046.000|20110131010047.000|CC1|REHABILITACIÓN.                 
20110131010047.000|20110131010049.000|CC1|???                             
20110131010049.000|20110131010051.000|CC1|>> EL BRUTAL LINCHAMIENTO DE    
20110131010051.000|20110131010053.000|CC1|UNOS POLICÍAS VUELVE A PONER EN 
20110131010053.000|20110131010056.000|CC1|TELA DE JUICIO LA LLAMADA       
20110131010056.000|20110131010056.000|CC1|JUSTICIA COMUNITARIA.           
20110131010056.000|20110131010058.000|CC1|???                             
20110131010058.000|20110131010100.000|CC1|>> UN PROGRAMA ESTIMULA A LOS   
20110131010100.000|20110131010102.000|CC1|HIJOS DE TRABAJADORES AGRÍCOLAS 
20110131010102.000|20110131010105.000|CC1|A PREPARARSE PARA UN MEJOR      
20110131010105.000|20110131010105.000|CC1|FUTURO PORQUE ES EL MOMENTO.    
20110131010105.000|20110131010108.000|CC1|???                             
20110131010108.000|20110131010110.000|CC1|>> CON SU SORPRENDENTE          
20110131010110.000|20110131010111.000|CC1|ESTATURA, UN HISPANO CONQUISTA  
20110131010111.000|20110131010113.000|CC1|EL TÍTULO DEL HOMBRE MÁS        
20110131010113.000|20110131010113.000|CC1|PEQUEÑO DEL MUNDO.              
20110131010113.000|20110131010116.000|CC1|???                             
20110131010116.000|20110131010118.000|CC1|ESTO Y MÁS AHORA MISMO EN       
20110131010118.000|20110131010118.000|CC1|PRIMER IMPACTO EXTRA.           
20110131010118.000|20110131010122.000|CC1|???                             
20110131010122.000|20110131010124.000|CC1|>> QUÉ TAL, AMIGOS? BIENVENIDOS 
20110131010124.000|20110131010125.000|CC1|A OTRA EDICIÓN DE PRIMER        
20110131010125.000|20110131010127.000|CC1|IMPACTO EXTRA.                  
20110131010127.000|20110131010129.000|CC1|GRACIAS POR ESTAR CON NOSOTROS. 
20110131010129.000|20110131010131.000|CC1|UNA NIÑA FUE DECAPITADA Y SU    
20110131010131.000|20110131010133.000|CC1|MADRE ASEGURA QUE UNOS SUJETOS  
20110131010133.000|20110131010135.000|CC1|SE LA QUITARON DE LOS BRAZOS    
20110131010135.000|20110131010137.000|CC1|CUANDO LA LLEVABA A LA ESCUELA. 
20110131010137.000|20110131010140.000|CC1|COMO NOS CUENTA ERNESTO RIVAS   
20110131010140.000|20110131010142.000|CC1|DESDE EL SALVADOR, LAS          
20110131010142.000|20110131010143.000|CC1|AUTORIDADES TIENEN MÁS          
20110131010143.000|20110131010144.000|CC1|PREGUNTAS QUE RESPUESTAS Y EL   
20110131010144.000|20110131010145.000|CC1|CASO SE HA CONVERTIDO EN UN     
20110131010145.000|20110131010146.000|CC1|CÍRCULO DE MISTERIO.            
20110131010146.000|20110131010154.000|CC1|???                             
20110131010154.000|20110131010156.000|CC1|>> ESE POZO OCULTÓ DURANTE OCHO 
20110131010156.000|20110131010159.000|CC1|DÍAS EL SALVAJISMO CON EL QUE   
20110131010159.000|20110131010200.000|CC1|FUE ULTRAJADA Y ASESINADA ESTA  
20110131010200.000|20110131010203.000|CC1|INOCENTE DE TAN SÓLO SEIS AÑOS. 
20110131010203.000|20110131010204.000|CC1|UN CRIMEN DEL QUE SÓLO UNA      
20110131010204.000|20110131010205.000|CC1|PERSONA QUISO HABLAR, SIEMPRE Y 
20110131010205.000|20110131010209.000|CC1|CUANDO LA CÁMARA NO LO FILMARA  
20110131010209.000|20110131010210.000|CC1|YA QUE HABLAR ES SINÓNIMO DE    
20110131010210.000|20110131010211.000|CC1|MUERTE.                         
20110131010211.000|20110131010215.000|CC1|>> LE CORTÓ LAS MANOS.          
20110131010215.000|20110131010216.000|CC1|DESPUÉS LA DECAPITÓ.            
20110131010216.000|20110131010217.000|CC1|>> Y EL CUERPO LO DEJÓ EN SU    
20110131010217.000|20110131010218.000|CC1|CASA?                           
20110131010218.000|20110131010221.000|CC1|>> EL CUERPO EN LA CASA LO DEJÓ.
20110131010221.000|20110131010222.000|CC1|TRAJO LO QUE ESE LA CABEZA PARA 
20110131010222.000|20110131010223.000|CC1|AQUÍ.                           
20110131010223.000|20110131010225.000|CC1|>> ES UNA ABERRACIÓN DE LA QUE  
20110131010225.000|20110131010226.000|CC1|INCLUSO LA POLICÍA MANEJA CON   
20110131010226.000|20110131010227.000|CC1|MUCHO HERMETISMO.               
20110131010227.000|20110131010232.000|CC1|AUNQUE DICEN QUE YA HAY DATOS.  
20110131010232.000|20110131010235.000|CC1|>> DE ACUERDO A LA HIPÓTESIS    
20110131010235.000|20110131010237.000|CC1|QUE MANEJAMOS, QUE NO LA VAMOS  
20110131010237.000|20110131010238.000|CC1|A DIVULGAR HASTA NO RESOLVER EL 
20110131010238.000|20110131010239.000|CC1|CASO.                           
20110131010239.000|20110131010241.000|CC1|>> EN UN PRIMER MOMENTO, UN     
20110131010241.000|20110131010244.000|CC1|PERIÓDICO PUBLICÓ QUE LA NIÑA,  
20110131010244.000|20110131010246.000|CC1|ALEJANDRA, FUE SECUESTRADA,     
20110131010246.000|20110131010248.000|CC1|ABUSADA Y DECAPITADA. PORQUE SU 
20110131010248.000|20110131010251.000|CC1|MADRE SE REHUSÓ A PAGAR 50      
