TOP|20110131180001|2011-01-31_1800_US_MSNBC_News_Live
COL|Communication Studies Archive, UCLA 
UID|4925ca64-2d6c-11e0-820f-001517add6fa
DUR|0:59:49.15
VID|640x480
CMT|
LAN|ENG
LBT|2011-01-31 10:00 America/Los_Angeles
SEG_01|2014-06-18 19:08:52|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110131180003.000|20110131181555.000|SEG|Type=Story
20110131180003.000|20110131180003.000|CC1|POLITICAL CHANGE.               
20110131180003.000|20110131180006.000|CC1|>> IT NEEDS TO BE AN ORDERLY    
20110131180006.000|20110131180009.000|CC1|PEACEFUL TRANSITION TO REAL     
20110131180009.000|20110131180010.000|CC1|DEMOCRACY, NOT FAUX DEMOCRACY   
20110131180010.000|20110131180012.000|CC1|LIKE THE ELECTIONS WE SNAU IRAN 
20110131180012.000|20110131180015.000|CC1|TWO YEARS AGO.                  
20110131180015.000|20110131180017.000|CC1|>> WILL THIS HOW, WHAT'S THE A  
20110131180017.000|20110131180018.000|CC1|STAKE FOR THE REGION AND THE    
20110131180018.000|20110131180020.000|CC1|POLITICAL HURDLES AHEAD FOR     
20110131180020.000|20110131180021.000|CC1|PRESIDENT OBAMA.                
20110131180021.000|20110131180022.000|CC1|WITH US, THE LATEST REPORTS FROM
20110131180022.000|20110131180028.000|CC1|THE MIDDLE EAST, FROM CAIRO,    
20110131180028.000|20110131180031.000|CC1|PLUS FORMER AMBASSADOR TO       
20110131180031.000|20110131180031.000|CC1|ISRAEL.                         
20110131180031.000|20110131180037.000|CC1|AND WASHINGTON BUREAU CHIEF OF  
20110131180037.000|20110131180039.000|CC1|AL JAZEERA INTERNATIONAL.       
20110131180039.000|20110131180044.000|CC1|IN EGYPT, THOUSANDS OF          
20110131180044.000|20110131180054.000|CC1|PROTESTERS ARE CHASM EDCAMPED O 
20110131180054.000|20110131180055.000|CC1|TAHRIR SQUARE.                  
20110131180055.000|20110131180056.000|CC1|MILLIONS ARE BEING CALLED TO    
20110131180056.000|20110131180057.000|CC1|MARCH ON THE PRESIDENTIAL       
20110131180057.000|20110131180058.000|CC1|PALACE.                         
20110131180058.000|20110131180101.000|CC1|ORGANIZERS MET TO TRY TO CREATE 
20110131180101.000|20110131180102.000|CC1|A UNIFIED STRATEGY ON HOW TO    
20110131180102.000|20110131180106.000|CC1|BRING DOWN PRESIDENT MUBARAK.   
20110131180106.000|20110131180107.000|CC1|AND THE UNITED STATES TRIES TO  
20110131180107.000|20110131180110.000|CC1|PROMOTE AN ORDERLY TRANSITION.  
20110131180110.000|20110131180112.000|CC1|THOUSANDS LIVING IN EGYPT ARE   
20110131180112.000|20110131180114.000|CC1|TRYING TO FREE THE COUNTRY.     
20110131180114.000|20110131180116.000|CC1|RICHARD ENGALLON HAS BEEN ON THE
20110131180116.000|20110131180119.000|CC1|GROUND REPORTING THROUGHOUT.    
20110131180119.000|20110131180122.000|CC1|WHAT ARE YOU SEEING OUT ON THE  
20110131180122.000|20110131180123.000|CC1|STREETS TODAY?                  
20110131180123.000|20110131180125.000|CC1|>> Reporter: WE'RE SEEING       
20110131180125.000|20110131180126.000|CC1|PREPARATIONS FOR TOMORROW.      
20110131180126.000|20110131180128.000|CC1|THE ARMY AND POLICE ARE BACK ON 
20110131180128.000|20110131180133.000|CC1|THE STREETS TO A DEGREE.        
20110131180133.000|20110131180136.000|CC1|MOSTLY THEY ARE JUST TRYING TO  
20110131180136.000|20110131180137.000|CC1|CONTAIN THE AREA.               
20110131180137.000|20110131180141.000|CC1|THEY'RE CHECK I.D.s, BUT MOSTLY 
20110131180141.000|20110131180143.000|CC1|THEY ARE SEATING UP BARRICADES  
20110131180143.000|20110131180146.000|CC1|TO CREATE A CONTAINED AREA FOR  
20110131180146.000|20110131180148.000|CC1|THE DEMONSTRATION WHICH IN MANY 
20110131180148.000|20110131180151.000|CC1|BECAUSES HAS ALREADY BEGUN.     
20110131180151.000|20110131180151.000|CC1|THOUSANDS OF PEOPLE ARE IN      
20110131180151.000|20110131180153.000|CC1|TAHRIR SQUARE, MAYBE 100,000 OR 
20110131180153.000|20110131180156.000|CC1|MORE, AND THEY ARE STILL        
20110131180156.000|20110131180158.000|CC1|ARRIVING EVEN AT THIS HOUR.     
20110131180158.000|20110131180159.000|CC1|SOME PEOPLE ARE SLEEPING IN THE 
20110131180159.000|20110131180200.000|CC1|SQUARE AND IT SEEMS VERY        
20110131180200.000|20110131180202.000|CC1|POSSIBLE THAT THEY WILL GET     
20110131180202.000|20110131180204.000|CC1|SEVERAL 100,000 PEOPLE IF NOT A 
20110131180204.000|20110131180205.000|CC1|MILLION TOMORROW.               
20110131180205.000|20110131180207.000|CC1|AND AS THE PROTEST IS BUILDING  
20110131180207.000|20110131180209.000|CC1|EVERY DAY, IT IS ALSO CHANGING. 
20110131180209.000|20110131180212.000|CC1|IN THE BEGINNING, SOME PEOPLE   
20110131180212.000|20110131180213.000|CC1|WERE CALLING IT A TWITTER       
20110131180213.000|20110131180213.000|CC1|REVOLUTION.                     
20110131180213.000|20110131180214.000|CC1|IT WAS ORGANIZED ONLINE.        
20110131180214.000|20110131180216.000|CC1|THAT IS NOT THE CASE ANYMORE.   
20110131180216.000|20110131180218.000|CC1|IT IS WORKING CLASS EGYPTIANS   
20110131180218.000|20110131180220.000|CC1|AND IT IS INCREASINGLY WE'RE    
20110131180220.000|20110131180221.000|CC1|SEEING THE INVOLVEMENT OF THE   
20110131180221.000|20110131180222.000|CC1|MUSLIM BROTHERHOOD.             
20110131180222.000|20110131180223.000|CC1|I WOULD SAY A LARGE PERCENTAGE  
20110131180223.000|20110131180226.000|CC1|OF THE PEOPLE I'VE SEEN IN      
20110131180226.000|20110131180228.000|CC1|TAHRIR SQUARE LOOK LIKE THEY'RE 
20110131180228.000|20110131180230.000|CC1|MEMBERS OF THE MUSLIM           
20110131180230.000|20110131180230.000|CC1|BROTHERHOOD.                    
20110131180230.000|20110131180231.000|CC1|I JUST CAME BACK FROM THEIR     
20110131180231.000|20110131180232.000|CC1|OFFICE AND THEY SAID THEY ARE   
20110131180232.000|20110131180233.000|CC1|DEEPLY INVOLVED IN THIS MOVEMENT
20110131180233.000|20110131180237.000|CC1|AND THEY ARE MAKING A PLAY.     
20110131180237.000|20110131180239.000|CC1|>> THEY'RE MAKING A PLAY,       
20110131180239.000|20110131180240.000|CC1|THEY'RE BETTER ORGANIZED THAN   
20110131180240.000|20110131180242.000|CC1|ARGUABLY ANYONE ELSE.           
20110131180242.000|20110131180244.000|CC1|THE WHITE HOUSE IS HOPING FOR   
20110131180244.000|20110131180247.000|CC1|TIME, FOR TIME FOR POLITICAL    
20110131180247.000|20110131180248.000|CC1|PARTIES TO EVOLVE.              
20110131180248.000|20110131180249.000|CC1|DO THEY HAVE THAT KIND OF TIME  
20110131180249.000|20110131180252.000|CC1|OR IS THIS MOVING SO FAST?      
20110131180252.000|20110131180254.000|CC1|>> IT IS MOVING VERY FAST.      
20110131180254.000|20110131180256.000|CC1|AND WHAT'S INTERESTING IS       
20110131180256.000|20110131180257.000|CC1|THERE'S NOT A CLEAR POLITICAL   
20110131180257.000|20110131180300.000|CC1|PLATFORM THAT THE PROTESTERS    
20110131180300.000|20110131180301.000|CC1|HAVE IN MIND.                   
20110131180301.000|20110131180303.000|CC1|THEY ARE CALLING FOR MUBARAK TO 
20110131180303.000|20110131180304.000|CC1|GO.                             
20110131180304.000|20110131180305.000|CC1|AND THEY SEEM TO BE -- THEY     
20110131180305.000|20110131180307.000|CC1|WOULD BE SATISFIED WITH THAT.   
20110131180307.000|20110131180308.000|CC1|A LOT OF THE PROTESTERS AREN'T  
20110131180308.000|20110131180310.000|CC1|REALLY THINKING ABOUT WHAT WOULD
20110131180310.000|20110131180311.000|CC1|COME COST NEXT.                 
20110131180311.000|20110131180312.000|CC1|MUSLIM BROTHERHOOD IS THINKING  
20110131180312.000|20110131180314.000|CC1|ABOUT WHAT WOULD COME NEXT.     
20110131180314.000|20110131180316.000|CC1|THEY WANT A PARLIAMENTARY       
20110131180316.000|20110131180318.000|CC1|SYSTEM, THEY WANT NEW ELECTIONS 
20110131180318.000|20110131180320.000|CC1|THAT WOULD BRING A WHOLE HOST OF
20110131180320.000|20110131180322.000|CC1|NEW POLITICAL LEADERS TO THE    
20110131180322.000|20110131180323.000|CC1|FOREFRONT.                      
20110131180323.000|20110131180326.000|CC1|THE MUSLIM BROTHERHOOD IN ORDER 
20110131180326.000|20110131180327.000|CC1|TO CONTROL OR HAVE POLITICAL    
20110131180327.000|20110131180329.000|CC1|INCLUDE IN THIS COUNTRY WOULDN'T
20110131180329.000|20110131180330.000|CC1|HAVE TO BECOME PRESIDENT OR     
20110131180330.000|20110131180331.000|CC1|PRIME MINISTER.                 
20110131180331.000|20110131180335.000|CC1|THEY LIKE TO CONTROL THE SOCIAL 
20110131180335.000|20110131180336.000|CC1|ORGANIZATIONS ON THE GROUND.    
20110131180336.000|20110131180340.000|CC1|WE FINISHED AN INTERVIEW WITH   
20110131180340.000|20110131180342.000|CC1|ONE OF THE TOP LEADERS, HE HAD  
20110131180342.000|20110131180343.000|CC1|ESCAPED FROM PRISON OVER THE    
20110131180343.000|20110131180345.000|CC1|WEEKEND, HE'D ACTUALLY MOST HIS 
20110131180345.000|20110131180347.000|CC1|VOICE BECAUSE AS SOON AS HE     
20110131180347.000|20110131180348.000|CC1|ESCAPED FROM PRISON, HE WENT    
20110131180348.000|20110131180349.000|CC1|RIGHT TO THE PROTESTS TO LEAD   
20110131180349.000|20110131180350.000|CC1|THE CROWDS.                     
20110131180350.000|20110131180358.000|CC1|>> IS THERE AN ANALOGY BETWEEN  
20110131180358.000|20110131180402.000|CC1|THE MUSLIM BROTHER HOOD AND     
20110131180402.000|20110131180404.000|CC1|HEZBOLLAH AFTER THEY WERE MUCH  
20110131180404.000|20110131180408.000|CC1|MORE FORCEFUL IN PROVIDING      
20110131180408.000|20110131180410.000|CC1|SOCIAL SERVICES TO THE PEOPLE   
20110131180410.000|20110131180411.000|CC1|DURING THE WAR?                 
20110131180411.000|20110131180413.000|CC1|>> HEZBOLLAH GOT ITS BREAK      
20110131180413.000|20110131180415.000|CC1|REALLY BY BEING THE MILITANT    
20110131180415.000|20110131180421.000|CC1|WING CONFRONTING ISRAEL.        
20110131180421.000|20110131180421.000|CC1|THEY EARNED A LOT OF RESPECT    
20110131180421.000|20110131180422.000|CC1|AMONG THE PEOPLE IN LEBANON BY  
20110131180422.000|20110131180423.000|CC1|FIGHTING IZ REALLY AND THEN     
20110131180423.000|20110131180424.000|CC1|AFTERWARDS THEY CEMENT THAT HAD 
20110131180424.000|20110131180427.000|CC1|SUPPORT BY GIVING SOCIAL        
20110131180427.000|20110131180428.000|CC1|SERVICES AND PROVIDING A BASIC  
20110131180428.000|20110131180430.000|CC1|SAFETY NETWORK FOR THE PEOPLE.  
20110131180430.000|20110131180432.000|CC1|THE MUSLIM BROTHERHOOD IS A MUCH
20110131180432.000|20110131180432.000|CC1|OLDER ORGANIZATION.             
20110131180432.000|20110131180434.000|CC1|IT IS MUCH SLOWER.              
20110131180434.000|20110131180437.000|CC1|IT DOESN'T HAVE THAT WAR TIME   
20110131180437.000|20110131180437.000|CC1|EXPERIENCE.                     
20110131180437.000|20110131180440.000|CC1|INSTEAD HAS ALWAYS BEEN A SOCIAL
20110131180440.000|20110131180440.000|CC1|NETWORK.                        
20110131180440.000|20110131180442.000|CC1|THEY PROVIDE BASIC SERVICES,    
20110131180442.000|20110131180444.000|CC1|THEY PROVIDE FOOD SUBSIDIES TO  
20110131180444.000|20110131180445.000|CC1|PEOPLE AND THEY ALREADY CONTROL 
20110131180445.000|20110131180447.000|CC1|A LOT OF THE PROFESSIONAL       
20110131180447.000|20110131180449.000|CC1|SYNDICATES, THE LABOR UNIONS,   
20110131180449.000|20110131180449.000|CC1|TEACHERS UNIONS.                
20110131180449.000|20110131180452.000|CC1|SO THEY'RE NOT NECESSARILY      
20110131180452.000|20110131180453.000|CC1|LOOKING FOR VISIBLE POWER.      
20110131180453.000|20110131180454.000|CC1|THEY'RE LOOKING FOR GRASS ROOTS 
20110131180454.000|20110131180501.000|CC1|POWER AND THIS KIND OF MOVEMENT 
20110131180501.000|20110131180502.000|CC1|WHERE YOU HAVE LOTS OF PEOPLE   
20110131180502.000|20110131180503.000|CC1|DEMANDING A NEW KIND OF         
20110131180503.000|20110131180505.000|CC1|GOVERNMENT IS PERFECT FOR THEM. 
20110131180505.000|20110131180507.000|CC1|>> AND I KNOW IT'S TOO EARLY TO 
20110131180507.000|20110131180510.000|CC1|BE CONTEMPT PLATING IT, BUT YOU 
20110131180510.000|20110131180512.000|CC1|CAN IMAGINE A CONTEXT WHERE     
20110131180512.000|20110131180514.000|CC1|THERE WOULD BE A GOVERNMENT WITH
20110131180514.000|20110131180516.000|CC1|STRONG INFLUENCE BY THE MUSLIM  
20110131180516.000|20110131180517.000|CC1|BROTHERHOOD THAT WOULD STILL    
20110131180517.000|20110131180522.000|CC1|KEEP THE PEACE TREATY?          
20110131180522.000|20110131180523.000|CC1|>> IF IT HAS VERY STRONG        
